<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
81948_090101_130416,D,20111223,000000,389.1000000,389.1000000,389.1000000,389.1000000,10
81948_090101_130416,D,20111226,000000,300.0000000,300.0000000,300.0000000,300.0000000,10
81948_090101_130416,D,20111229,000000,186.2000000,186.2000000,186.2000000,186.2000000,10
81948_090101_130416,D,20111230,000000,210.4000000,210.4000000,210.4000000,210.4000000,10
81948_090101_130416,D,20120111,000000,240.0000000,270.0000000,240.0000000,270.0000000,60
81948_090101_130416,D,20120112,000000,235.0000000,250.0000000,235.0000000,250.0000000,20
81948_090101_130416,D,20120120,000000,251.0000000,260.0000000,250.0000000,260.0000000,50
81948_090101_130416,D,20120123,000000,250.0000000,275.0000000,250.0000000,275.0000000,30
81948_090101_130416,D,20120202,000000,250.0000000,250.0000000,250.0000000,250.0000000,10
81948_090101_130416,D,20120216,000000,250.0000000,250.0000000,210.0000000,223.1000000,340
81948_090101_130416,D,20120217,000000,235.9000000,300.0000000,234.9000000,300.0000000,110
81948_090101_130416,D,20120220,000000,282.1000000,282.1000000,282.1000000,282.1000000,10
81948_090101_130416,D,20120228,000000,260.0000000,260.0000000,260.0000000,260.0000000,100
81948_090101_130416,D,20120314,000000,255.0000000,255.0000000,255.0000000,255.0000000,40
81948_090101_130416,D,20120315,000000,225.0000000,225.7000000,225.0000000,225.7000000,50
81948_090101_130416,D,20120319,000000,249.9000000,250.0000000,249.9000000,250.0000000,90
81948_090101_130416,D,20120320,000000,222.2000000,265.0000000,222.0000000,250.0000000,290
81948_090101_130416,D,20120321,000000,250.0000000,250.0000000,250.0000000,250.0000000,20
81948_090101_130416,D,20120322,000000,255.0000000,275.0000000,255.0000000,275.0000000,70
81948_090101_130416,D,20120323,000000,260.0000000,260.0000000,250.0000000,250.0000000,60
81948_090101_130416,D,20120326,000000,275.0000000,275.0000000,275.0000000,275.0000000,10
81948_090101_130416,D,20120327,000000,260.0000000,265.0000000,260.0000000,265.0000000,40
81948_090101_130416,D,20120328,000000,260.0000000,260.0000000,260.0000000,260.0000000,10
81948_090101_130416,D,20120329,000000,220.0000000,269.8000000,220.0000000,269.8000000,20
81948_090101_130416,D,20120330,000000,230.0000000,255.0000000,230.0000000,255.0000000,20
81948_090101_130416,D,20120402,000000,230.0000000,250.0000000,224.1000000,250.0000000,60
81948_090101_130416,D,20120403,000000,222.0000000,255.0000000,222.0000000,255.0000000,20
81948_090101_130416,D,20120404,000000,250.0000000,269.9000000,220.0000000,249.9000000,350
81948_090101_130416,D,20120405,000000,249.0000000,249.0000000,234.8000000,235.0000000,100
81948_090101_130416,D,20120406,000000,250.0000000,260.0000000,240.0000000,260.0000000,50
81948_090101_130416,D,20120409,000000,260.0000000,360.0000000,230.0000000,230.0000000,320
81948_090101_130416,D,20120410,000000,229.9000000,230.0000000,229.9000000,230.0000000,30
