<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
74744_090101_130416,D,20110111,000000,4.060.0000000,4.060.0000000,3.300.0000000,3.350.0000000,54
74744_090101_130416,D,20110112,000000,3.430.0000000,4.566.0000000,3.350.0200000,4.500.0000000,123
74744_090101_130416,D,20110113,000000,4.150.0000000,4.640.0000000,3.500.0500000,3.789.9900000,296
74744_090101_130416,D,20110114,000000,4.199.9900000,4.999.9900000,3.380.0100000,3.598.9800000,112
74744_090101_130416,D,20110117,000000,3.900.0000000,3.900.0000000,3.006.1600000,3.250.0000000,136
74744_090101_130416,D,20110118,000000,3.480.0000000,3.480.0000000,3.200.0000000,3.200.0000000,19
74744_090101_130416,D,20110119,000000,3.200.0000000,3.359.9600000,2.800.0200000,2.870.0000000,123
74744_090101_130416,D,20110120,000000,2.801.1400000,2.801.1400000,2.260.0600000,2.780.0000000,78
74744_090101_130416,D,20110121,000000,2.600.0000000,2.625.0000000,2.444.5000000,2.560.0000000,114
74744_090101_130416,D,20110124,000000,2.500.0000000,2.730.0000000,2.500.0000000,2.580.0000000,91
74744_090101_130416,D,20110125,000000,2.430.0200000,2.499.0000000,2.350.0000000,2.499.0000000,52
74744_090101_130416,D,20110126,000000,2.021.0200000,2.560.0000000,2.021.0000000,2.398.9900000,13
74744_090101_130416,D,20110127,000000,2.299.9900000,2.300.0000000,2.240.0000000,2.270.0000000,32
74744_090101_130416,D,20110128,000000,2.826.7400000,2.826.7400000,2.250.0000000,2.309.9900000,24
74744_090101_130416,D,20110131,000000,2.143.0300000,2.429.0000000,2.096.0500000,2.200.0000000,151
74744_090101_130416,D,20110202,000000,2.000.0300000,2.246.0000000,2.000.0300000,2.246.0000000,7
74744_090101_130416,D,20110203,000000,2.000.0100000,2.000.0100000,1.825.0000000,1.981.1100000,97
74744_090101_130416,D,20110204,000000,2.140.0000000,2.140.0000000,1.730.0400000,1.795.0200000,72
74744_090101_130416,D,20110207,000000,1.650.0000000,1.650.0000000,1.311.0000000,1.349.9900000,808
74744_090101_130416,D,20110208,000000,1.359.9900000,1.549.9900000,1.190.0000000,1.205.5000000,658
74744_090101_130416,D,20110209,000000,1.161.0200000,1.242.0100000,980.0000000,1.174.0000000,1.356
74744_090101_130416,D,20110210,000000,1.170.1800000,1.508.0400000,1.020.0700000,1.274.9000000,1.864
74744_090101_130416,D,20110211,000000,1.397.7700000,1.494.0000000,1.210.0000000,1.487.0000000,214
74744_090101_130416,D,20110214,000000,1.360.0300000,1.500.0000000,1.290.0800000,1.500.0000000,51
74744_090101_130416,D,20110215,000000,1.548.0000000,1.600.0000000,1.547.9900000,1.590.0000000,27
74744_090101_130416,D,20110216,000000,1.599.9900000,1.599.9900000,1.330.0000000,1.366.0000000,538
74744_090101_130416,D,20110217,000000,1.398.9800000,1.519.9400000,1.345.0000000,1.387.9900000,400
74744_090101_130416,D,20110218,000000,1.394.4400000,1.450.0000000,1.308.7800000,1.424.9400000,113
74744_090101_130416,D,20110221,000000,1.350.0400000,1.425.0000000,1.299.9900000,1.325.0000000,337
74744_090101_130416,D,20110222,000000,1.302.5700000,1.324.9900000,1.200.0000000,1.200.0000000,184
74744_090101_130416,D,20110224,000000,1.152.0100000,1.205.0100000,1.152.0100000,1.199.9900000,58
74744_090101_130416,D,20110225,000000,1.152.0400000,1.233.9500000,1.152.0000000,1.161.0700000,51
74744_090101_130416,D,20110228,000000,1.152.0100000,1.354.9900000,1.152.0000000,1.354.9900000,241
74744_090101_130416,D,20110301,000000,1.333.3000000,1.378.0000000,1.222.1000000,1.378.0000000,99
74744_090101_130416,D,20110302,000000,1.240.5000000,1.374.0000000,1.240.5000000,1.311.0000000,73
74744_090101_130416,D,20110303,000000,1.253.9000000,1.369.7000000,1.253.9000000,1.336.0000000,48
74744_090101_130416,D,20110304,000000,1.287.5000000,1.381.8000000,1.287.5000000,1.303.3000000,48
74744_090101_130416,D,20110305,000000,1.303.3000000,1.340.0000000,1.280.0000000,1.302.2000000,67
74744_090101_130416,D,20110309,000000,1.266.0000000,1.358.7000000,1.265.0000000,1.302.1000000,136
74744_090101_130416,D,20110310,000000,1.201.0000000,1.368.0000000,1.201.0000000,1.298.1000000,8
74744_090101_130416,D,20110311,000000,1.201.1000000,1.366.0000000,1.200.0000000,1.366.0000000,78
74744_090101_130416,D,20110314,000000,1.368.0000000,1.368.0000000,1.250.3000000,1.250.6000000,45
74744_090101_130416,D,20110315,000000,1.300.0000000,1.319.9000000,1.155.1000000,1.255.6000000,147
74744_090101_130416,D,20110316,000000,1.161.1000000,1.269.8000000,1.161.1000000,1.186.5000000,40
74744_090101_130416,D,20110317,000000,1.188.6000000,1.249.6000000,1.188.6000000,1.248.0000000,8
74744_090101_130416,D,20110321,000000,1.264.0000000,1.498.0000000,1.161.5000000,1.458.0000000,894
74744_090101_130416,D,20110322,000000,1.372.0000000,1.777.5000000,900.0000000,1.250.1000000,577
74744_090101_130416,D,20110323,000000,1.221.1000000,1.295.9000000,1.221.1000000,1.232.2000000,67
74744_090101_130416,D,20110324,000000,1.231.8000000,1.400.0000000,1.231.8000000,1.300.0000000,100
74744_090101_130416,D,20110325,000000,1.270.2000000,1.393.8000000,1.265.1000000,1.300.1000000,54
74744_090101_130416,D,20110328,000000,1.300.0000000,1.300.0000000,1.212.2000000,1.284.6000000,107
74744_090101_130416,D,20110329,000000,1.297.1000000,1.297.1000000,1.220.1000000,1.295.0000000,22
74744_090101_130416,D,20110330,000000,1.297.0000000,1.299.1000000,1.223.1000000,1.288.9000000,35
74744_090101_130416,D,20110331,000000,1.230.1000000,1.320.0000000,1.230.1000000,1.320.0000000,40
74744_090101_130416,D,20110401,000000,1.320.0000000,1.387.0000000,1.262.1000000,1.383.8000000,10
74744_090101_130416,D,20110404,000000,1.399.5000000,1.399.5000000,1.301.1000000,1.394.7000000,18
74744_090101_130416,D,20110405,000000,1.394.6000000,1.394.6000000,1.235.7000000,1.389.9000000,21
74744_090101_130416,D,20110406,000000,1.384.9000000,1.384.9000000,1.300.0000000,1.382.7000000,8
74744_090101_130416,D,20110407,000000,1.382.0000000,1.382.0000000,1.270.3000000,1.327.4000000,16
74744_090101_130416,D,20110408,000000,1.235.3000000,1.320.0000000,1.152.0000000,1.320.0000000,88
74744_090101_130416,D,20110411,000000,1.320.0000000,1.320.0000000,1.221.0000000,1.250.0000000,54
74744_090101_130416,D,20110412,000000,1.200.1000000,1.274.9000000,1.180.0000000,1.211.2000000,319
74744_090101_130416,D,20110413,000000,1.210.0000000,1.740.3000000,1.210.0000000,1.740.3000000,1.102
74744_090101_130416,D,20110414,000000,1.900.0000000,2.189.0000000,1.400.1000000,1.550.0000000,1.788
74744_090101_130416,D,20110415,000000,1.540.0000000,1.700.0000000,1.465.0000000,1.589.4000000,328
74744_090101_130416,D,20110418,000000,1.500.0000000,1.743.0000000,1.355.1000000,1.493.9000000,298
74744_090101_130416,D,20110419,000000,1.351.5000000,1.524.0000000,1.302.0000000,1.401.0000000,93
74744_090101_130416,D,20110420,000000,1.425.3000000,1.500.0000000,1.333.0000000,1.400.0000000,101
74744_090101_130416,D,20110421,000000,1.450.0000000,1.948.0000000,1.450.0000000,1.800.0000000,977
74744_090101_130416,D,20110422,000000,1.899.8000000,2.200.0000000,1.540.0000000,1.565.0000000,1.600
74744_090101_130416,D,20110425,000000,1.674.9000000,1.838.0000000,1.555.0000000,1.695.0000000,768
74744_090101_130416,D,20110426,000000,1.713.0000000,1.749.7000000,1.605.6000000,1.611.0000000,168
74744_090101_130416,D,20110427,000000,1.694.8000000,1.930.5000000,1.600.0000000,1.734.9000000,378
74744_090101_130416,D,20110428,000000,1.943.6000000,2.060.0000000,1.700.3000000,1.898.9000000,513
74744_090101_130416,D,20110429,000000,1.890.1000000,2.099.9000000,1.656.3000000,1.711.9000000,625
74744_090101_130416,D,20110503,000000,1.641.1000000,1.813.0000000,1.601.2000000,1.697.8000000,234
74744_090101_130416,D,20110504,000000,1.579.0000000,1.631.8000000,1.502.0000000,1.600.0000000,170
74744_090101_130416,D,20110505,000000,1.512.0000000,1.550.0000000,1.205.5000000,1.293.9000000,293
74744_090101_130416,D,20110506,000000,1.255.1000000,1.649.9000000,1.255.0000000,1.302.0000000,909
74744_090101_130416,D,20110510,000000,1.397.5000000,1.463.5000000,1.280.0000000,1.329.7000000,214
