<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
81907_090101_130416,D,20111209,000000,3.500.0000000,4.385.0000000,3.500.0000000,4.285.0000000,1.050
81907_090101_130416,D,20111212,000000,3.802.0000000,3.802.0000000,3.600.0000000,3.600.0000000,160
81907_090101_130416,D,20111213,000000,3.599.9000000,3.599.9000000,3.299.9000000,3.400.0000000,159
81907_090101_130416,D,20111214,000000,3.227.0000000,3.300.0000000,2.900.0000000,3.000.0000000,273
81907_090101_130416,D,20111215,000000,3.000.0000000,3.000.0000000,2.700.0000000,2.850.0000000,289
81907_090101_130416,D,20111216,000000,2.750.0000000,2.948.7000000,2.700.0000000,2.945.0000000,51
81907_090101_130416,D,20111219,000000,2.948.6000000,2.998.7000000,2.900.1000000,2.998.7000000,49
81907_090101_130416,D,20111220,000000,2.994.9000000,3.000.0000000,2.994.9000000,3.000.0000000,91
81907_090101_130416,D,20111221,000000,2.950.0000000,2.995.0000000,2.900.0000000,2.900.0000000,85
81907_090101_130416,D,20111222,000000,2.900.0000000,2.900.0000000,2.800.8000000,2.899.9000000,163
81907_090101_130416,D,20111223,000000,2.900.0000000,2.900.0000000,2.850.2000000,2.900.0000000,32
81907_090101_130416,D,20111226,000000,2.850.1000000,2.900.0000000,2.850.1000000,2.900.0000000,493
81907_090101_130416,D,20111227,000000,2.925.0000000,2.925.0000000,2.850.0000000,2.850.1000000,79
81907_090101_130416,D,20111228,000000,2.800.5000000,2.890.0000000,2.800.0000000,2.890.0000000,3
81907_090101_130416,D,20111229,000000,2.888.0000000,2.900.0000000,2.850.0000000,2.850.0000000,144
81907_090101_130416,D,20111230,000000,2.802.0000000,2.999.9000000,2.770.0000000,2.999.9000000,137
81907_090101_130416,D,20120105,000000,3.200.0000000,3.300.0000000,3.200.0000000,3.300.0000000,10
81907_090101_130416,D,20120106,000000,2.957.2000000,3.299.0000000,2.957.2000000,3.000.0000000,9
81907_090101_130416,D,20120109,000000,2.850.0000000,3.100.0000000,2.850.0000000,3.000.0000000,4
81907_090101_130416,D,20120110,000000,3.000.0000000,3.295.0000000,2.810.0000000,2.810.0000000,94
81907_090101_130416,D,20120111,000000,2.790.0000000,2.800.0000000,2.700.0000000,2.700.0000000,29
81907_090101_130416,D,20120112,000000,2.800.0000000,2.800.0000000,2.700.0000000,2.750.0000000,31
81907_090101_130416,D,20120113,000000,2.777.9000000,2.799.9000000,2.700.0000000,2.799.9000000,3
81907_090101_130416,D,20120116,000000,2.500.1000000,2.909.9000000,2.500.1000000,2.898.9000000,6
81907_090101_130416,D,20120117,000000,2.500.1000000,2.990.0000000,2.500.0000000,2.919.0000000,50
81907_090101_130416,D,20120118,000000,2.889.9000000,2.889.9000000,2.750.0000000,2.750.0000000,51
81907_090101_130416,D,20120119,000000,2.602.8000000,2.890.0000000,2.602.8000000,2.870.0000000,47
81907_090101_130416,D,20120120,000000,2.900.0000000,3.000.0000000,2.900.0000000,3.000.0000000,47
81907_090101_130416,D,20120123,000000,2.950.0000000,3.025.0000000,2.950.0000000,3.025.0000000,10
81907_090101_130416,D,20120124,000000,3.025.0000000,3.100.0000000,2.750.0000000,2.949.9000000,73
81907_090101_130416,D,20120125,000000,2.950.0000000,3.024.9000000,2.920.0000000,3.009.9000000,11
81907_090101_130416,D,20120126,000000,3.039.2000000,4.100.0000000,3.039.2000000,3.800.0000000,283
81907_090101_130416,D,20120127,000000,3.700.0000000,3.750.0000000,3.000.0000000,3.369.9000000,870
81907_090101_130416,D,20120130,000000,3.545.4000000,3.545.4000000,3.035.5000000,3.299.9000000,8
81907_090101_130416,D,20120131,000000,3.200.1000000,3.399.9000000,3.100.0000000,3.325.0000000,61
81907_090101_130416,D,20120201,000000,3.105.3000000,3.444.3000000,3.050.0000000,3.255.7000000,94
81907_090101_130416,D,20120202,000000,3.219.9000000,3.219.9000000,3.100.0000000,3.174.9000000,139
81907_090101_130416,D,20120203,000000,3.106.1000000,3.383.9000000,3.106.1000000,3.350.0000000,75
81907_090101_130416,D,20120206,000000,3.110.2000000,3.343.9000000,3.110.1000000,3.185.0000000,32
81907_090101_130416,D,20120207,000000,3.140.0000000,3.699.9000000,3.130.0000000,3.260.0000000,107
81907_090101_130416,D,20120208,000000,3.230.0000000,3.599.8000000,3.230.0000000,3.400.0000000,206
81907_090101_130416,D,20120209,000000,3.325.1000000,3.598.6000000,3.325.1000000,3.350.1000000,41
81907_090101_130416,D,20120210,000000,3.322.0000000,3.699.7000000,3.322.0000000,3.670.0000000,53
81907_090101_130416,D,20120213,000000,3.351.3000000,3.600.0000000,3.351.1000000,3.570.0000000,42
81907_090101_130416,D,20120214,000000,3.457.3000000,3.599.8000000,3.451.0000000,3.592.9000000,100
81907_090101_130416,D,20120215,000000,3.540.0000000,3.694.0000000,3.520.0000000,3.694.0000000,115
81907_090101_130416,D,20120216,000000,3.610.0000000,3.684.9000000,3.505.9000000,3.684.9000000,8
81907_090101_130416,D,20120217,000000,3.599.9000000,3.600.0000000,3.599.9000000,3.600.0000000,100
81907_090101_130416,D,20120220,000000,3.515.3000000,3.699.0000000,3.515.3000000,3.600.0000000,46
81907_090101_130416,D,20120221,000000,3.650.0000000,3.690.0000000,3.500.0000000,3.550.0000000,79
81907_090101_130416,D,20120222,000000,3.585.0000000,3.585.0000000,3.461.0000000,3.539.9000000,26
81907_090101_130416,D,20120224,000000,3.481.0000000,3.550.0000000,3.450.0000000,3.550.0000000,25
81907_090101_130416,D,20120227,000000,3.500.0000000,3.550.0000000,3.400.0000000,3.550.0000000,110
81907_090101_130416,D,20120228,000000,3.500.1000000,3.600.0000000,3.451.3000000,3.452.0000000,45
81907_090101_130416,D,20120229,000000,3.440.0000000,3.550.0000000,3.299.9000000,3.550.0000000,144
81907_090101_130416,D,20120301,000000,3.599.0000000,3.599.0000000,3.305.0000000,3.519.7000000,22
81907_090101_130416,D,20120302,000000,3.549.9000000,3.550.0000000,3.520.0000000,3.550.0000000,13
81907_090101_130416,D,20120305,000000,3.441.5000000,3.648.0000000,3.441.5000000,3.648.0000000,23
81907_090101_130416,D,20120306,000000,3.441.3000000,3.599.9000000,3.440.6000000,3.450.0000000,89
81907_090101_130416,D,20120307,000000,3.400.1000000,3.400.1000000,3.400.0000000,3.400.0000000,10
81907_090101_130416,D,20120311,000000,3.352.2000000,3.497.7000000,3.350.0000000,3.497.7000000,8
81907_090101_130416,D,20120312,000000,3.448.9000000,3.450.0000000,3.312.4000000,3.450.0000000,15
81907_090101_130416,D,20120313,000000,3.550.5000000,3.550.5000000,3.350.0000000,3.350.0000000,24
81907_090101_130416,D,20120314,000000,3.448.1000000,3.448.2000000,3.448.1000000,3.448.2000000,5
81907_090101_130416,D,20120315,000000,3.449.8000000,3.475.0000000,3.300.0000000,3.389.9000000,52
81907_090101_130416,D,20120316,000000,3.300.0000000,3.380.0000000,3.300.0000000,3.380.0000000,65
81907_090101_130416,D,20120319,000000,3.400.0000000,3.450.0000000,3.350.0000000,3.430.0000000,3.583
81907_090101_130416,D,20120320,000000,3.555.0000000,3.600.0000000,3.303.0000000,3.439.9000000,265
81907_090101_130416,D,20120321,000000,3.430.0000000,3.450.0000000,3.380.0000000,3.400.0000000,50
81907_090101_130416,D,20120322,000000,3.400.2000000,3.544.9000000,3.400.0000000,3.400.0000000,200
81907_090101_130416,D,20120323,000000,3.350.1000000,3.433.2000000,3.350.0000000,3.400.0000000,289
81907_090101_130416,D,20120326,000000,3.450.1000000,3.700.0000000,3.450.0000000,3.690.0000000,686
81907_090101_130416,D,20120327,000000,3.573.1000000,3.850.0000000,3.453.1000000,3.820.0000000,757
81907_090101_130416,D,20120328,000000,3.800.0000000,3.974.0000000,3.800.0000000,3.974.0000000,139
81907_090101_130416,D,20120329,000000,3.785.0000000,3.800.0000000,3.660.0000000,3.660.0000000,117
81907_090101_130416,D,20120330,000000,3.660.0000000,3.750.0000000,3.660.0000000,3.750.0000000,17
81907_090101_130416,D,20120402,000000,3.605.3000000,3.776.2000000,3.600.0000000,3.776.2000000,8
81907_090101_130416,D,20120403,000000,3.499.9000000,3.650.0000000,3.499.9000000,3.650.0000000,17
81907_090101_130416,D,20120404,000000,3.690.0000000,3.690.0000000,3.690.0000000,3.690.0000000,500
81907_090101_130416,D,20120405,000000,3.650.0000000,3.770.0000000,3.650.0000000,3.770.0000000,30
81907_090101_130416,D,20120406,000000,3.601.3000000,3.620.1000000,3.601.1000000,3.604.0000000,45
81907_090101_130416,D,20120409,000000,3.600.0000000,3.600.0000000,3.499.9000000,3.549.9000000,24
81907_090101_130416,D,20120410,000000,3.525.0000000,3.525.0000000,3.495.0000000,3.495.0000000,22
81907_090101_130416,D,20120411,000000,3.534.9000000,3.540.0000000,3.435.0000000,3.525.0000000,51
81907_090101_130416,D,20120412,000000,3.500.3000000,3.530.0000000,3.490.0000000,3.530.0000000,358
81907_090101_130416,D,20120413,000000,3.500.0000000,3.500.0000000,3.500.0000000,3.500.0000000,38
81907_090101_130416,D,20120416,000000,3.554.9000000,3.554.9000000,3.500.0000000,3.500.0000000,9
81907_090101_130416,D,20120417,000000,3.500.0000000,3.500.0000000,3.400.0000000,3.450.1000000,46
81907_090101_130416,D,20120418,000000,3.500.1000000,3.550.0000000,3.450.0000000,3.550.0000000,46
81907_090101_130416,D,20120419,000000,3.499.9000000,3.800.0000000,3.499.9000000,3.618.1000000,985
81907_090101_130416,D,20120423,000000,3.500.1000000,3.850.0000000,3.300.0000000,3.770.0000000,197
81907_090101_130416,D,20120424,000000,3.770.0000000,4.000.0000000,3.718.2000000,3.718.2000000,1.631
