<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
16136_090101_130416,D,20090111,000000,88.0300000,89.0000000,86.3200000,87.5900000,507.894
16136_090101_130416,D,20090112,000000,87.4000000,91.0400000,87.3500000,89.5900000,544.387
16136_090101_130416,D,20090113,000000,88.5300000,90.9800000,85.2700000,89.9000000,376.749
16136_090101_130416,D,20090114,000000,90.9900000,91.8600000,85.9000000,86.0000000,519.242
16136_090101_130416,D,20090115,000000,85.6600000,88.5000000,82.3900000,83.2000000,1.039.789
16136_090101_130416,D,20090116,000000,84.4000000,85.3600000,82.9500000,83.8700000,367.053
16136_090101_130416,D,20090119,000000,85.0000000,87.0000000,80.1000000,82.8200000,522.198
16136_090101_130416,D,20090120,000000,83.0000000,83.0000000,77.4000000,81.8300000,465.433
16136_090101_130416,D,20090121,000000,78.2300000,81.2000000,77.5100000,80.3000000,429.962
16136_090101_130416,D,20090122,000000,81.3000000,81.9900000,77.0000000,77.9000000,358.965
16136_090101_130416,D,20090123,000000,78.1900000,78.8000000,70.8100000,74.1700000,456.661
16136_090101_130416,D,20090126,000000,75.0000000,87.1000000,74.2000000,85.4100000,1.057.912
16136_090101_130416,D,20090127,000000,85.5000000,88.1900000,81.2600000,83.5000000,910.891
16136_090101_130416,D,20090128,000000,84.1900000,93.5000000,84.1900000,90.0000000,1.220.385
16136_090101_130416,D,20090129,000000,90.9900000,94.9900000,84.0200000,91.0000000,1.028.185
16136_090101_130416,D,20090130,000000,90.6000000,93.7900000,89.1100000,90.0400000,718.473
16136_090101_130416,D,20090202,000000,88.5000000,95.3000000,87.4000000,94.8500000,870.313
16136_090101_130416,D,20090203,000000,95.4000000,98.7000000,93.3000000,97.9200000,854.223
16136_090101_130416,D,20090204,000000,100.2000000,111.6200000,99.9600000,111.2000000,2.313.795
16136_090101_130416,D,20090205,000000,109.0000000,125.2300000,108.5000000,116.0000000,5.473.083
16136_090101_130416,D,20090206,000000,120.6300000,142.6700000,120.6000000,142.0000000,8.284.229
16136_090101_130416,D,20090209,000000,144.4400000,165.0000000,142.2100000,151.0800000,7.143.931
16136_090101_130416,D,20090210,000000,150.4800000,154.5000000,136.6600000,148.2000000,5.043.065
16136_090101_130416,D,20090211,000000,144.6300000,148.0000000,136.6600000,137.9700000,2.766.973
16136_090101_130416,D,20090212,000000,139.0000000,139.5000000,123.5500000,125.8300000,2.419.722
16136_090101_130416,D,20090213,000000,129.0000000,138.4500000,127.5300000,136.7000000,2.587.281
16136_090101_130416,D,20090216,000000,134.4400000,143.0000000,131.4000000,135.3000000,1.550.472
16136_090101_130416,D,20090217,000000,134.0100000,134.0100000,121.9800000,122.0100000,1.001.333
16136_090101_130416,D,20090218,000000,121.9000000,129.8800000,114.2900000,119.5000000,2.749.030
16136_090101_130416,D,20090219,000000,121.1000000,131.1500000,120.0000000,124.9500000,2.614.968
16136_090101_130416,D,20090220,000000,121.8500000,122.5000000,115.8100000,119.1100000,1.011.154
