<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
74540_090101_130416,D,20101022,000000,213.6000000,213.6000000,195.0000000,213.6000000,4.242
74540_090101_130416,D,20101025,000000,258.0000000,298.9900000,180.0100000,180.0100000,7.040
74540_090101_130416,D,20101026,000000,180.0100000,182.9000000,152.0000000,180.8700000,2.040
74540_090101_130416,D,20101027,000000,188.8000000,249.9500000,165.0000000,240.0000000,10.344
74540_090101_130416,D,20101028,000000,249.0100000,290.0000000,190.0000000,253.4800000,28.454
74540_090101_130416,D,20101029,000000,242.6200000,260.0000000,227.0000000,242.7900000,300
74540_090101_130416,D,20101101,000000,240.0000000,269.9500000,215.0500000,269.8000000,5.253
74540_090101_130416,D,20101102,000000,265.0000000,275.0000000,240.0000000,258.0000000,386
74540_090101_130416,D,20101103,000000,255.0000000,269.9500000,236.0000000,259.0000000,708
74540_090101_130416,D,20101108,000000,264.4400000,264.8500000,231.0000000,240.0000000,130
74540_090101_130416,D,20101109,000000,240.0000000,260.0000000,225.0000000,250.0000000,619
74540_090101_130416,D,20101110,000000,235.7700000,250.0000000,223.0000000,244.9000000,587
74540_090101_130416,D,20101111,000000,226.0000000,243.0000000,226.0000000,240.0000000,205
74540_090101_130416,D,20101112,000000,242.8900000,242.8900000,226.0000000,234.0000000,7.050
74540_090101_130416,D,20101113,000000,237.7900000,324.0000000,235.4400000,254.9400000,3.936
74540_090101_130416,D,20101115,000000,240.0000000,250.0000000,230.0000000,236.6900000,616
74540_090101_130416,D,20101116,000000,234.3400000,244.9000000,203.9900000,220.7100000,705
74540_090101_130416,D,20101117,000000,222.9200000,236.7500000,198.0000000,220.0000000,638
74540_090101_130416,D,20101118,000000,212.2900000,226.0000000,202.2300000,223.0000000,90
74540_090101_130416,D,20101119,000000,218.7000000,220.0000000,218.7000000,220.0000000,54
74540_090101_130416,D,20101122,000000,219.9900000,220.0000000,219.9900000,220.0000000,10
74540_090101_130416,D,20101123,000000,220.0000000,220.0000000,220.0000000,220.0000000,2
74540_090101_130416,D,20101124,000000,220.9100000,228.9400000,220.9100000,220.9900000,769
74540_090101_130416,D,20101125,000000,220.9200000,220.9200000,199.0000000,203.0000000,1.686
74540_090101_130416,D,20101126,000000,200.2000000,205.0000000,180.0200000,205.0000000,128
74540_090101_130416,D,20101129,000000,200.0000000,208.2000000,200.0000000,208.2000000,55
74540_090101_130416,D,20101130,000000,192.0100000,226.0000000,190.0000000,220.0000000,3.796
