<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
16933_090101_130416,D,20090111,000000,0.0900000,0.0920000,0.0900000,0.0910000,1.513.700
16933_090101_130416,D,20090112,000000,0.0920000,0.0940000,0.0900000,0.0900000,2.288.700
16933_090101_130416,D,20090113,000000,0.0920000,0.0930000,0.0880000,0.0910000,4.799.100
16933_090101_130416,D,20090114,000000,0.0900000,0.0900000,0.0840000,0.0870000,3.220.400
16933_090101_130416,D,20090115,000000,0.0860000,0.0880000,0.0830000,0.0870000,2.517.100
16933_090101_130416,D,20090116,000000,0.0850000,0.0870000,0.0830000,0.0840000,1.372.400
16933_090101_130416,D,20090119,000000,0.0850000,0.0870000,0.0760000,0.0820000,2.292.300
16933_090101_130416,D,20090120,000000,0.0820000,0.0820000,0.0690000,0.0740000,11.790.100
16933_090101_130416,D,20090121,000000,0.0720000,0.0770000,0.0670000,0.0770000,2.363.100
16933_090101_130416,D,20090122,000000,0.0800000,0.0830000,0.0710000,0.0720000,542.000
16933_090101_130416,D,20090123,000000,0.0760000,0.0760000,0.0690000,0.0730000,1.969.100
16933_090101_130416,D,20090126,000000,0.0720000,0.0750000,0.0710000,0.0740000,8.584.500
16933_090101_130416,D,20090127,000000,0.0750000,0.0750000,0.0690000,0.0720000,4.466.700
16933_090101_130416,D,20090128,000000,0.0710000,0.0730000,0.0700000,0.0730000,4.412.500
16933_090101_130416,D,20090129,000000,0.0720000,0.0730000,0.0680000,0.0710000,6.670.300
16933_090101_130416,D,20090130,000000,0.0700000,0.0710000,0.0670000,0.0700000,5.850.400
16933_090101_130416,D,20090202,000000,0.0700000,0.0710000,0.0640000,0.0680000,5.148.600
16933_090101_130416,D,20090203,000000,0.0680000,0.0690000,0.0670000,0.0680000,3.136.200
16933_090101_130416,D,20090204,000000,0.0690000,0.0720000,0.0680000,0.0690000,1.927.900
16933_090101_130416,D,20090205,000000,0.0700000,0.0710000,0.0670000,0.0680000,2.294.600
16933_090101_130416,D,20090206,000000,0.0670000,0.0740000,0.0670000,0.0730000,4.430.100
16933_090101_130416,D,20090209,000000,0.0730000,0.0770000,0.0680000,0.0750000,6.153.400
16933_090101_130416,D,20090210,000000,0.0760000,0.0850000,0.0740000,0.0810000,10.450.700
16933_090101_130416,D,20090211,000000,0.0760000,0.0800000,0.0750000,0.0790000,12.472.600
16933_090101_130416,D,20090212,000000,0.0790000,0.0830000,0.0720000,0.0780000,14.057.200
16933_090101_130416,D,20090213,000000,0.0790000,0.0810000,0.0770000,0.0790000,7.362.700
