<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
6_090101_130416,D,20090111,000000,0.9500000,1.0190000,0.9500000,0.9820000,5.409.200
6_090101_130416,D,20090112,000000,0.9510000,1.0090000,0.9510000,0.9890000,6.180.900
6_090101_130416,D,20090113,000000,0.9890000,1.0090000,0.9700000,0.9840000,7.658.700
6_090101_130416,D,20090114,000000,0.9900000,0.9990000,0.9630000,0.9640000,5.376.200
6_090101_130416,D,20090115,000000,0.9700000,0.9780000,0.9310000,0.9410000,5.912.800
6_090101_130416,D,20090116,000000,0.9500000,0.9510000,0.9200000,0.9290000,4.172.300
6_090101_130416,D,20090119,000000,0.9150000,0.9310000,0.8450000,0.8500000,7.834.200
6_090101_130416,D,20090120,000000,0.8540000,0.8560000,0.7620000,0.7800000,16.916.200
6_090101_130416,D,20090121,000000,0.7850000,0.7900000,0.7340000,0.7790000,9.232.100
6_090101_130416,D,20090122,000000,0.8050000,0.8180000,0.7420000,0.7500000,9.914.100
6_090101_130416,D,20090123,000000,0.7500000,0.8150000,0.7080000,0.8110000,38.284.600
6_090101_130416,D,20090126,000000,0.7810000,0.9180000,0.7810000,0.9000000,11.053.000
6_090101_130416,D,20090127,000000,0.8900000,0.9010000,0.8500000,0.8610000,3.569.600
6_090101_130416,D,20090128,000000,0.8700000,0.8960000,0.8350000,0.8820000,6.528.000
6_090101_130416,D,20090129,000000,0.8850000,0.9100000,0.8630000,0.8870000,27.661.700
6_090101_130416,D,20090130,000000,0.8700000,0.9280000,0.8520000,0.8810000,26.830.800
6_090101_130416,D,20090202,000000,0.8870000,0.8870000,0.8560000,0.8690000,4.500.900
6_090101_130416,D,20090203,000000,0.8740000,0.8860000,0.8500000,0.8640000,3.514.400
6_090101_130416,D,20090204,000000,0.8660000,0.9700000,0.8560000,0.9030000,16.721.000
6_090101_130416,D,20090205,000000,0.8900000,0.9200000,0.8860000,0.9010000,5.710.400
6_090101_130416,D,20090206,000000,0.9020000,0.9600000,0.8840000,0.9460000,7.148.900
6_090101_130416,D,20090209,000000,0.9500000,0.9650000,0.9360000,0.9580000,8.765.200
6_090101_130416,D,20090210,000000,0.9560000,0.9800000,0.9250000,0.9600000,12.930.100
6_090101_130416,D,20090211,000000,0.9490000,0.9800000,0.9070000,0.9500000,7.159.000
6_090101_130416,D,20090212,000000,0.9500000,0.9700000,0.9310000,0.9320000,5.478.700
6_090101_130416,D,20090213,000000,0.9380000,0.9600000,0.9380000,0.9550000,4.094.900
6_090101_130416,D,20090216,000000,0.9590000,0.9670000,0.9380000,0.9510000,3.528.600
6_090101_130416,D,20090217,000000,0.9450000,0.9570000,0.9000000,0.9210000,4.717.800
6_090101_130416,D,20090218,000000,0.9100000,0.9380000,0.8800000,0.8990000,12.692.100
6_090101_130416,D,20090219,000000,0.9000000,0.9100000,0.8880000,0.9010000,3.933.400
6_090101_130416,D,20090220,000000,0.8840000,0.9060000,0.8300000,0.8630000,7.891.400
6_090101_130416,D,20090224,000000,0.8520000,0.8690000,0.8200000,0.8520000,3.947.300
6_090101_130416,D,20090225,000000,0.8700000,0.9060000,0.8650000,0.8830000,3.735.200
6_090101_130416,D,20090226,000000,0.8950000,0.9090000,0.8660000,0.8850000,4.046.100
6_090101_130416,D,20090227,000000,0.8710000,0.8810000,0.8540000,0.8700000,2.361.000
6_090101_130416,D,20090302,000000,0.8710000,0.8710000,0.8400000,0.8670000,1.916.700
6_090101_130416,D,20090303,000000,0.8510000,0.8850000,0.8510000,0.8750000,2.615.200
6_090101_130416,D,20090304,000000,0.8800000,0.8850000,0.8630000,0.8700000,9.945.000
6_090101_130416,D,20090305,000000,0.8720000,0.8790000,0.8530000,0.8530000,4.835.300
6_090101_130416,D,20090306,000000,0.8640000,0.8690000,0.8500000,0.8630000,3.495.700
6_090101_130416,D,20090310,000000,0.8600000,0.8890000,0.8500000,0.8840000,28.139.400
6_090101_130416,D,20090311,000000,0.8800000,0.8840000,0.8650000,0.8830000,18.407.300
