<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
16359_090101_130416,D,20090111,000000,0.1990000,0.1990000,0.1990000,0.1990000,100
16359_090101_130416,D,20090112,000000,0.2120000,0.2120000,0.2120000,0.2120000,100
16359_090101_130416,D,20090127,000000,0.1610000,0.1610000,0.1300000,0.1580000,5.100
16359_090101_130416,D,20090128,000000,0.1990000,0.1990000,0.1100000,0.1940000,10.700
16359_090101_130416,D,20090202,000000,0.1930000,0.1930000,0.1930000,0.1930000,1.000
16359_090101_130416,D,20090204,000000,0.2180000,0.2180000,0.2180000,0.2180000,100
16359_090101_130416,D,20090205,000000,0.1990000,0.1990000,0.1990000,0.1990000,100
16359_090101_130416,D,20090209,000000,0.2000000,0.2000000,0.1210000,0.1980000,2.100
16359_090101_130416,D,20090218,000000,0.1980000,0.1980000,0.1980000,0.1980000,200
16359_090101_130416,D,20090219,000000,0.2170000,0.2170000,0.1850000,0.1850000,900
16359_090101_130416,D,20090220,000000,0.2180000,0.2180000,0.1990000,0.1990000,700
16359_090101_130416,D,20090224,000000,0.1990000,0.1990000,0.1990000,0.1990000,100
16359_090101_130416,D,20090225,000000,0.2090000,0.2190000,0.1260000,0.1260000,3.200
16359_090101_130416,D,20090226,000000,0.1990000,0.1990000,0.1990000,0.1990000,800
16359_090101_130416,D,20090227,000000,0.1990000,0.2060000,0.1990000,0.2060000,1.300
16359_090101_130416,D,20090302,000000,0.2000000,0.2000000,0.1980000,0.1980000,1.100
16359_090101_130416,D,20090303,000000,0.1260000,0.2180000,0.1250000,0.2180000,1.200
16359_090101_130416,D,20090304,000000,0.1910000,0.2180000,0.1910000,0.1920000,400
16359_090101_130416,D,20090305,000000,0.1920000,0.1920000,0.1910000,0.1910000,6.200
16359_090101_130416,D,20090310,000000,0.2170000,0.2170000,0.1520000,0.1910000,900
16359_090101_130416,D,20090311,000000,0.1260000,0.2080000,0.1200000,0.2080000,4.300
16359_090101_130416,D,20090313,000000,0.2080000,0.2080000,0.2080000,0.2080000,100
16359_090101_130416,D,20090316,000000,0.2190000,0.2190000,0.1890000,0.1890000,1.500
16359_090101_130416,D,20090317,000000,0.2200000,0.2200000,0.1960000,0.1960000,300
16359_090101_130416,D,20090318,000000,0.2230000,0.2230000,0.2230000,0.2230000,100
16359_090101_130416,D,20090320,000000,0.2240000,0.2240000,0.1900000,0.2090000,14.300
16359_090101_130416,D,20090323,000000,0.2200000,0.2200000,0.2150000,0.2150000,1.100
16359_090101_130416,D,20090324,000000,0.2100000,0.2100000,0.2100000,0.2100000,2.000
16359_090101_130416,D,20090325,000000,0.2090000,0.2100000,0.2090000,0.2100000,200
16359_090101_130416,D,20090326,000000,0.2200000,0.2260000,0.2100000,0.2260000,4.400
16359_090101_130416,D,20090327,000000,0.2260000,0.2260000,0.1380000,0.1940000,5.300
16359_090101_130416,D,20090330,000000,0.2080000,0.2080000,0.2080000,0.2080000,100
16359_090101_130416,D,20090331,000000,0.2230000,0.2230000,0.2230000,0.2230000,100
16359_090101_130416,D,20090401,000000,0.2230000,0.2230000,0.2230000,0.2230000,100
16359_090101_130416,D,20090402,000000,0.2230000,0.2230000,0.1990000,0.2100000,19.700
16359_090101_130416,D,20090403,000000,0.2000000,0.2080000,0.1900000,0.1900000,40.200
16359_090101_130416,D,20090406,000000,0.2190000,0.2190000,0.2190000,0.2190000,600
16359_090101_130416,D,20090407,000000,0.2220000,0.2260000,0.2130000,0.2130000,30.300
16359_090101_130416,D,20090408,000000,0.2240000,0.2260000,0.2240000,0.2260000,200
16359_090101_130416,D,20090410,000000,0.2260000,0.2260000,0.2260000,0.2260000,100
16359_090101_130416,D,20090413,000000,0.2250000,0.2250000,0.2250000,0.2250000,100
16359_090101_130416,D,20090414,000000,0.2240000,0.2250000,0.2240000,0.2250000,10.000
16359_090101_130416,D,20090415,000000,0.2260000,0.2260000,0.2260000,0.2260000,100
