<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
70_090101_130416,D,20111021,000000,0.5700000,0.6600000,0.5700000,0.6600000,300.000
70_090101_130416,D,20111024,000000,0.6000000,0.6400000,0.6000000,0.6300000,380.000
70_090101_130416,D,20111025,000000,0.6001000,0.6001000,0.5800000,0.5800000,510.000
70_090101_130416,D,20111026,000000,0.5700000,0.6000000,0.5700000,0.6000000,40.000
70_090101_130416,D,20111027,000000,0.6200000,0.7200000,0.6100000,0.6800000,5.260.000
70_090101_130416,D,20111028,000000,0.6799000,0.7210000,0.6799000,0.7000000,10.010.000
70_090101_130416,D,20111031,000000,0.6015000,0.6998000,0.6015000,0.6997000,430.000
70_090101_130416,D,20111101,000000,0.6303000,0.6303000,0.6202000,0.6202000,30.000
70_090101_130416,D,20111102,000000,0.6400000,0.6898000,0.6400000,0.6898000,30.000
70_090101_130416,D,20111103,000000,0.6400000,0.6800000,0.6400000,0.6700000,340.000
70_090101_130416,D,20111107,000000,0.6334000,0.6500000,0.6031000,0.6037000,460.000
70_090101_130416,D,20111108,000000,0.6200000,0.6368000,0.6004000,0.6368000,110.000
70_090101_130416,D,20111109,000000,0.6399000,0.6399000,0.6099000,0.6150000,1.360.000
70_090101_130416,D,20111110,000000,0.6002000,0.6100000,0.6002000,0.6020000,160.000
70_090101_130416,D,20111111,000000,0.6149000,0.6250000,0.6149000,0.6250000,290.000
70_090101_130416,D,20111114,000000,0.6246000,0.6247000,0.5910000,0.5910000,230.000
70_090101_130416,D,20111115,000000,0.5903000,0.5903000,0.5849000,0.5849000,180.000
70_090101_130416,D,20111116,000000,0.5899000,0.5899000,0.5899000,0.5899000,10.000
70_090101_130416,D,20111117,000000,0.5900000,0.5900000,0.5900000,0.5900000,20.000
70_090101_130416,D,20111118,000000,0.5606000,0.5894000,0.5605000,0.5894000,30.000
70_090101_130416,D,20111121,000000,0.5622000,0.5876000,0.5607000,0.5876000,30.000
70_090101_130416,D,20111122,000000,0.5997000,0.6247000,0.5997000,0.6247000,100.000
70_090101_130416,D,20111123,000000,0.6000000,0.6245000,0.6000000,0.6245000,140.000
