<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
21005_090101_130416,D,20100406,000000,2.500.0000000,2.500.0000000,2.500.0000000,2.500.0000000,2
21005_090101_130416,D,20100407,000000,2.500.0000000,3.500.0000000,2.500.0000000,3.500.0000000,125
21005_090101_130416,D,20100408,000000,4.000.0000000,4.900.0000000,4.000.0000000,4.900.0000000,115
21005_090101_130416,D,20100409,000000,4.900.0000000,6.860.0000000,4.900.0000000,6.860.0000000,196
21005_090101_130416,D,20100412,000000,9.000.0000000,9.603.5900000,7.200.0000000,9.603.5900000,237
21005_090101_130416,D,20100413,000000,11.790.0000000,13.445.0300000,8.900.0000000,13.445.0300000,264
21005_090101_130416,D,20100414,000000,18.799.9900000,18.823.0400000,17.000.0000000,18.823.0400000,177
21005_090101_130416,D,20100415,000000,23.999.0000000,26.352.2600000,14.200.0000000,16.752.0000000,685
21005_090101_130416,D,20100416,000000,16.522.0000000,16.999.9900000,10.511.1800000,12.000.0000000,1.414
21005_090101_130416,D,20100419,000000,10.651.0000000,14.488.9900000,10.000.0000000,11.666.1100000,720
21005_090101_130416,D,20100420,000000,12.288.9900000,13.950.0000000,11.007.0000000,13.000.0000000,694
21005_090101_130416,D,20100421,000000,12.600.0000000,12.700.0000000,11.202.0600000,11.301.0000000,588
21005_090101_130416,D,20100422,000000,11.335.0000000,11.850.0000000,10.051.0000000,10.111.0100000,255
21005_090101_130416,D,20100423,000000,10.300.0000000,10.300.0000000,9.200.0300000,9.499.9900000,271
21005_090101_130416,D,20100426,000000,9.222.3000000,10.699.9900000,9.222.3000000,10.125.0000000,304
21005_090101_130416,D,20100427,000000,10.080.0000000,10.300.0000000,9.000.2000000,9.210.0800000,233
21005_090101_130416,D,20100428,000000,8.939.5300000,9.200.0000000,7.610.0100000,8.250.0200000,637
21005_090101_130416,D,20100429,000000,8.699.9900000,9.250.0000000,8.200.0000000,8.933.0000000,588
21005_090101_130416,D,20100430,000000,9.199.9900000,9.199.9900000,8.050.0100000,8.050.0100000,377
21005_090101_130416,D,20100504,000000,8.070.0100000,8.070.0100000,7.100.0000000,7.100.0000000,386
21005_090101_130416,D,20100505,000000,6.701.0000000,7.494.8700000,6.502.0000000,6.799.0000000,305
21005_090101_130416,D,20100506,000000,6.352.0000000,6.900.0000000,6.301.0000000,6.350.0500000,84
21005_090101_130416,D,20100507,000000,5.999.0000000,6.899.9900000,5.540.0100000,6.830.0000000,337
21005_090101_130416,D,20100511,000000,7.001.1700000,7.500.0000000,6.550.0000000,6.999.9400000,239
21005_090101_130416,D,20100512,000000,7.250.0000000,8.299.0000000,7.000.8400000,7.999.9700000,264
21005_090101_130416,D,20100513,000000,8.250.0000000,8.250.0000000,7.500.0000000,7.981.0000000,79
21005_090101_130416,D,20100514,000000,7.900.0000000,7.950.0000000,6.501.0100000,7.500.0000000,161
21005_090101_130416,D,20100517,000000,6.772.0000000,7.500.0000000,6.700.0000000,7.498.0000000,110
21005_090101_130416,D,20100518,000000,7.700.0000000,7.800.0000000,7.025.0000000,7.400.0000000,123
21005_090101_130416,D,20100519,000000,7.105.1400000,7.499.8800000,6.800.0000000,7.200.0000000,169
21005_090101_130416,D,20100520,000000,7.199.9900000,7.350.0000000,6.500.0000000,6.505.0600000,182
21005_090101_130416,D,20100521,000000,6.169.0100000,7.000.0000000,6.169.0100000,6.790.0000000,94
21005_090101_130416,D,20100524,000000,7.000.0000000,7.000.0000000,6.570.0500000,6.800.0700000,77
21005_090101_130416,D,20100525,000000,6.822.9900000,7.499.6900000,6.450.0200000,6.720.0000000,212
21005_090101_130416,D,20100526,000000,6.720.0200000,6.999.9000000,6.710.0000000,6.900.0000000,57
21005_090101_130416,D,20100527,000000,6.999.9900000,7.159.9900000,6.642.5000000,7.150.0000000,57
21005_090101_130416,D,20100528,000000,7.000.0100000,7.230.0000000,7.000.0000000,7.020.0000000,89
21005_090101_130416,D,20100531,000000,7.058.9900000,7.298.9900000,6.700.0000000,6.989.9800000,63
