<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
74629_090101_130416,D,20101206,000000,86.5000000,86.8200000,78.5200000,79.8900000,905.903
74629_090101_130416,D,20101207,000000,80.4800000,80.4800000,79.0000000,79.4500000,456.037
74629_090101_130416,D,20101208,000000,79.9900000,80.0000000,78.2600000,78.2600000,152.955
74629_090101_130416,D,20101209,000000,79.3800000,79.5400000,76.8300000,77.0000000,189.203
74629_090101_130416,D,20101210,000000,77.0000000,77.0000000,75.0500000,76.0000000,102.168
74629_090101_130416,D,20101213,000000,76.4900000,77.0000000,76.0400000,76.6900000,134.629
74629_090101_130416,D,20101214,000000,76.5000000,76.5000000,74.0000000,75.0000000,202.330
74629_090101_130416,D,20101215,000000,75.2500000,75.2500000,73.9000000,74.3600000,166.943
74629_090101_130416,D,20101216,000000,74.4500000,74.9800000,74.0000000,74.4300000,142.600
74629_090101_130416,D,20101217,000000,74.4900000,74.9900000,73.6500000,74.6200000,359.673
74629_090101_130416,D,20101220,000000,74.3000000,75.5000000,74.3000000,75.0000000,208.418
74629_090101_130416,D,20101221,000000,75.2500000,76.7200000,74.4100000,76.4000000,209.903
74629_090101_130416,D,20101222,000000,76.4000000,76.7500000,75.5000000,76.5000000,391.075
74629_090101_130416,D,20101223,000000,75.8400000,76.5000000,75.5000000,75.7800000,207.580
74629_090101_130416,D,20101224,000000,76.4300000,76.4300000,75.2000000,75.3500000,328.136
74629_090101_130416,D,20101227,000000,75.8000000,75.8000000,74.8700000,75.4000000,98.189
74629_090101_130416,D,20101228,000000,75.2600000,75.4900000,74.0000000,74.0000000,254.547
74629_090101_130416,D,20101229,000000,74.7000000,75.3500000,74.0000000,74.9200000,121.274
74629_090101_130416,D,20101230,000000,75.0000000,75.3500000,74.7300000,75.0000000,74.533
74629_090101_130416,D,20110111,000000,75.7500000,76.7500000,74.4500000,76.4000000,129.327
74629_090101_130416,D,20110112,000000,76.8200000,77.9900000,76.4400000,77.6000000,201.783
74629_090101_130416,D,20110113,000000,77.8900000,79.8500000,77.0200000,79.0000000,207.704
74629_090101_130416,D,20110114,000000,79.0000000,79.9000000,78.3100000,79.1000000,398.342
74629_090101_130416,D,20110117,000000,79.1000000,81.9900000,79.0100000,81.5000000,750.650
74629_090101_130416,D,20110118,000000,81.5000000,81.5000000,80.0000000,80.0000000,460.490
74629_090101_130416,D,20110119,000000,80.0200000,80.7000000,79.7500000,79.7500000,156.480
74629_090101_130416,D,20110120,000000,79.7300000,79.9900000,78.1500000,79.0000000,311.456
74629_090101_130416,D,20110121,000000,79.0000000,80.5000000,78.5300000,80.2400000,139.341
74629_090101_130416,D,20110124,000000,80.2400000,80.4400000,78.2400000,79.4800000,45.931
74629_090101_130416,D,20110125,000000,80.0000000,80.4000000,78.5100000,80.0000000,453.062
74629_090101_130416,D,20110126,000000,80.0000000,80.0000000,78.7100000,78.9400000,238.992
74629_090101_130416,D,20110127,000000,78.9800000,78.9800000,77.5200000,77.6800000,133.102
74629_090101_130416,D,20110128,000000,78.0300000,78.0400000,77.0000000,78.0400000,262.542
74629_090101_130416,D,20110131,000000,78.6300000,78.6400000,76.9500000,77.7000000,255.685
74629_090101_130416,D,20110201,000000,78.0000000,79.5900000,77.1200000,78.5700000,307.806
74629_090101_130416,D,20110202,000000,79.0200000,79.5000000,77.5100000,77.9000000,284.319
74629_090101_130416,D,20110203,000000,77.7000000,78.0000000,76.5000000,76.7000000,330.907
74629_090101_130416,D,20110204,000000,77.0000000,80.0000000,77.0000000,78.0400000,675.501
74629_090101_130416,D,20110207,000000,78.2000000,78.2000000,77.0300000,77.5600000,160.164
74629_090101_130416,D,20110208,000000,77.3100000,78.2000000,77.3000000,78.1500000,170.184
74629_090101_130416,D,20110209,000000,78.5000000,78.8700000,78.0000000,78.4000000,117.482
74629_090101_130416,D,20110210,000000,78.8800000,78.9100000,77.7000000,78.0000000,278.110
74629_090101_130416,D,20110211,000000,78.1400000,79.5000000,78.0000000,78.9000000,232.249
74629_090101_130416,D,20110214,000000,79.0000000,79.0000000,78.0100000,79.0000000,19.524
74629_090101_130416,D,20110215,000000,78.7400000,79.6700000,78.0600000,78.0800000,154.779
74629_090101_130416,D,20110216,000000,79.0000000,79.0000000,78.3000000,78.5000000,12.821
74629_090101_130416,D,20110217,000000,78.8900000,79.0000000,78.4900000,78.8000000,12.347
74629_090101_130416,D,20110218,000000,78.3200000,79.0000000,77.5000000,78.2900000,35.478
74629_090101_130416,D,20110221,000000,78.7900000,79.5000000,77.7100000,79.0000000,51.253
74629_090101_130416,D,20110222,000000,78.7900000,78.9000000,76.7100000,78.7000000,47.346
74629_090101_130416,D,20110224,000000,78.1200000,78.9900000,77.0700000,78.0000000,77.570
74629_090101_130416,D,20110225,000000,78.5000000,78.5000000,77.8100000,78.2000000,79.901
74629_090101_130416,D,20110228,000000,77.7100000,78.2000000,77.6700000,78.1000000,145.529
74629_090101_130416,D,20110301,000000,79.9900000,79.9900000,77.7800000,78.2800000,19.300
74629_090101_130416,D,20110302,000000,78.4000000,78.4200000,77.6100000,77.7300000,140.600
74629_090101_130416,D,20110303,000000,78.0000000,78.0000000,76.7000000,76.7000000,152.900
74629_090101_130416,D,20110304,000000,77.4700000,78.1400000,77.0000000,77.7800000,70.000
74629_090101_130416,D,20110305,000000,77.5100000,77.8000000,77.0000000,77.3600000,11.200
74629_090101_130416,D,20110309,000000,77.2100000,78.0000000,77.2000000,77.7700000,39.700
74629_090101_130416,D,20110310,000000,77.2400000,77.5000000,76.7800000,76.7800000,86.400
74629_090101_130416,D,20110311,000000,76.7200000,77.0000000,76.2000000,76.3500000,76.100
74629_090101_130416,D,20110314,000000,76.1700000,76.4000000,75.9000000,75.9700000,49.400
74629_090101_130416,D,20110315,000000,75.5300000,75.7600000,73.3700000,73.6000000,221.700
74629_090101_130416,D,20110316,000000,73.9200000,74.0000000,73.0000000,73.0000000,84.600
74629_090101_130416,D,20110317,000000,73.0000000,73.0000000,71.7000000,72.0000000,202.400
74629_090101_130416,D,20110318,000000,72.5900000,72.9900000,72.0300000,72.5800000,75.500
74629_090101_130416,D,20110321,000000,72.7900000,73.0000000,72.4000000,72.8500000,107.100
74629_090101_130416,D,20110322,000000,72.7100000,73.5400000,72.7100000,73.5000000,62.000
74629_090101_130416,D,20110323,000000,73.4000000,75.3000000,73.4000000,74.7500000,60.200
