<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
81241_090101_130416,D,20110831,000000,7.2000000,7.2000000,7.1000000,7.2000000,497.000
81241_090101_130416,D,20110901,000000,7.2000000,8.0000000,6.5000000,7.2550000,240.000
81241_090101_130416,D,20110902,000000,7.2560000,7.3000000,7.0910000,7.2800000,240.000
81241_090101_130416,D,20110905,000000,7.1400000,7.2110000,7.0100000,7.2110000,207.000
81241_090101_130416,D,20110906,000000,7.1780000,7.1990000,6.5010000,7.1900000,211.000
81241_090101_130416,D,20110907,000000,7.2000000,7.2000000,7.1780000,7.1930000,150.000
81241_090101_130416,D,20110908,000000,7.1200000,7.1600000,6.9900000,7.1500000,177.000
81241_090101_130416,D,20110909,000000,7.1880000,7.1880000,6.9500000,7.1520000,151.000
81241_090101_130416,D,20110912,000000,7.1290000,7.1290000,6.9560000,7.0900000,147.000
81241_090101_130416,D,20110913,000000,6.9800000,7.1780000,6.8800000,7.0400000,82.000
81241_090101_130416,D,20110914,000000,7.2200000,7.2200000,6.9510000,7.1550000,178.000
81241_090101_130416,D,20110915,000000,7.2270000,7.2270000,7.1700000,7.1800000,247.000
81241_090101_130416,D,20110916,000000,7.2000000,7.4000000,7.2000000,7.3390000,160.000
81241_090101_130416,D,20110919,000000,7.1110000,7.1600000,7.1110000,7.1530000,72.000
81241_090101_130416,D,20110920,000000,7.1800000,7.4200000,7.1800000,7.4200000,143.000
81241_090101_130416,D,20110921,000000,7.3700000,7.3700000,7.2500000,7.3200000,132.000
81241_090101_130416,D,20110922,000000,7.1700000,7.3100000,6.9500000,6.9500000,123.000
81241_090101_130416,D,20110923,000000,6.9000000,7.1800000,6.1500000,6.8600000,93.000
81241_090101_130416,D,20110926,000000,6.7000000,6.9700000,6.7000000,6.9350000,145.000
81241_090101_130416,D,20110927,000000,7.1800000,7.1850000,6.8410000,7.1560000,125.000
81241_090101_130416,D,20110928,000000,7.1110000,7.1900000,7.0100000,7.0600000,156.000
