<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
81934_090101_130416,D,20111221,000000,1.114.0000000,1.114.0000000,1.069.5000000,1.069.5000000,200
81934_090101_130416,D,20111227,000000,1.274.0000000,1.486.0000000,1.274.0000000,1.284.0000000,51
81934_090101_130416,D,20111228,000000,1.300.0000000,2.015.0000000,1.300.0000000,1.300.0000000,127
81934_090101_130416,D,20111229,000000,1.300.0000000,2.600.0000000,1.300.0000000,1.300.0000000,325
81934_090101_130416,D,20120119,000000,1.500.0000000,1.500.0000000,1.500.0000000,1.500.0000000,1
81934_090101_130416,D,20120120,000000,1.052.0000000,1.052.0000000,1.052.0000000,1.052.0000000,1
81934_090101_130416,D,20120127,000000,1.150.0000000,1.472.0000000,1.150.0000000,1.472.0000000,11
81934_090101_130416,D,20120130,000000,1.450.0000000,2.019.0000000,1.450.0000000,1.700.0000000,448
81934_090101_130416,D,20120131,000000,1.699.9000000,1.699.9000000,1.501.0000000,1.501.0000000,3
81934_090101_130416,D,20120201,000000,1.250.0000000,1.250.0000000,1.250.0000000,1.250.0000000,1
81934_090101_130416,D,20120202,000000,1.230.0000000,1.230.0000000,1.230.0000000,1.230.0000000,1
81934_090101_130416,D,20120203,000000,1.078.1000000,1.200.0000000,1.078.1000000,1.200.0000000,4
81934_090101_130416,D,20120208,000000,1.350.0000000,1.350.0000000,1.350.0000000,1.350.0000000,1
81934_090101_130416,D,20120209,000000,1.250.0000000,1.250.0000000,1.250.0000000,1.250.0000000,1
81934_090101_130416,D,20120216,000000,1.500.0000000,1.500.0000000,1.500.0000000,1.500.0000000,2
81934_090101_130416,D,20120227,000000,1.599.7000000,1.599.7000000,1.599.7000000,1.599.7000000,2
81934_090101_130416,D,20120229,000000,1.550.0000000,2.234.5000000,1.550.0000000,2.234.5000000,1.288
81934_090101_130416,D,20120301,000000,1.500.1000000,1.525.2000000,1.350.0000000,1.520.0000000,53
81934_090101_130416,D,20120302,000000,1.510.0000000,1.510.0000000,1.510.0000000,1.510.0000000,1
81934_090101_130416,D,20120305,000000,1.799.4000000,2.105.0000000,1.799.4000000,2.105.0000000,480
81934_090101_130416,D,20120306,000000,2.105.0000000,2.388.8000000,1.550.0000000,1.855.2000000,55
81934_090101_130416,D,20120307,000000,1.500.1000000,1.500.2000000,1.482.5000000,1.500.2000000,22
81934_090101_130416,D,20120311,000000,1.510.0000000,1.510.0000000,1.510.0000000,1.510.0000000,1
81934_090101_130416,D,20120312,000000,1.600.0000000,2.001.4000000,1.503.8000000,2.001.4000000,21
81934_090101_130416,D,20120313,000000,1.600.7000000,1.600.7000000,1.470.0000000,1.480.0000000,163
81934_090101_130416,D,20120314,000000,1.480.0000000,1.480.0000000,1.350.0000000,1.420.0000000,177
81934_090101_130416,D,20120315,000000,1.400.0000000,1.425.0000000,1.400.0000000,1.425.0000000,117
81934_090101_130416,D,20120321,000000,1.380.0000000,1.420.0000000,1.380.0000000,1.420.0000000,11
81934_090101_130416,D,20120322,000000,1.404.9000000,1.404.9000000,1.290.0000000,1.300.0000000,18
81934_090101_130416,D,20120323,000000,1.244.0000000,1.244.0000000,1.234.9000000,1.236.0000000,15
81934_090101_130416,D,20120326,000000,1.205.1000000,1.205.2000000,1.205.0000000,1.205.0000000,33
81934_090101_130416,D,20120327,000000,1.221.0000000,1.221.1000000,1.221.0000000,1.221.1000000,4
81934_090101_130416,D,20120328,000000,1.279.9000000,1.279.9000000,1.279.9000000,1.279.9000000,3
