<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
82493_090101_130416,D,20120420,000000,4.000.0000000,4.320.0000000,3.600.0000000,3.600.0000000,74
82493_090101_130416,D,20120423,000000,4.175.0000000,4.175.0000000,3.000.0000000,3.500.0000000,29
82493_090101_130416,D,20120424,000000,3.150.1000000,3.150.1000000,3.000.1000000,3.100.0000000,45
82493_090101_130416,D,20120425,000000,3.333.0000000,3.399.9000000,3.000.0000000,3.001.0000000,161
82493_090101_130416,D,20120426,000000,2.920.0000000,3.099.8000000,2.920.0000000,3.099.8000000,6
82493_090101_130416,D,20120428,000000,3.040.0000000,3.144.0000000,3.040.0000000,3.099.0000000,21
82493_090101_130416,D,20120502,000000,2.500.0000000,3.098.9000000,2.500.0000000,3.098.9000000,14
82493_090101_130416,D,20120514,000000,2.500.0000000,2.999.9000000,2.500.0000000,2.999.9000000,7
82493_090101_130416,D,20120521,000000,2.500.0000000,3.097.7000000,2.500.0000000,3.097.7000000,5
82493_090101_130416,D,20120528,000000,2.530.0000000,2.530.0000000,2.530.0000000,2.530.0000000,1
82493_090101_130416,D,20120529,000000,3.098.9000000,3.098.9000000,3.098.9000000,3.098.9000000,1
82493_090101_130416,D,20120625,000000,3.090.0000000,3.090.0000000,3.090.0000000,3.090.0000000,50
82493_090101_130416,D,20120626,000000,3.000.0000000,3.000.0000000,3.000.0000000,3.000.0000000,1
82493_090101_130416,D,20120628,000000,2.702.0000000,3.177.0000000,2.702.0000000,3.177.0000000,1.100
82493_090101_130416,D,20120629,000000,2.800.3000000,3.179.8000000,2.800.3000000,3.179.8000000,1.200
82493_090101_130416,D,20120717,000000,3.150.0000000,3.150.0000000,3.150.0000000,3.150.0000000,500
82493_090101_130416,D,20120802,000000,2.700.0000000,2.999.8000000,2.700.0000000,2.800.0000000,27
82493_090101_130416,D,20120821,000000,3.149.9000000,3.150.0000000,2.000.1000000,3.149.0000000,85
82493_090101_130416,D,20120830,000000,2.300.0000000,2.900.0000000,2.300.0000000,2.900.0000000,61
82493_090101_130416,D,20120831,000000,3.145.0000000,3.145.0000000,3.145.0000000,3.145.0000000,5
82493_090101_130416,D,20120905,000000,3.145.0000000,3.145.0000000,3.145.0000000,3.145.0000000,5
82493_090101_130416,D,20120906,000000,3.139.0000000,3.139.0000000,3.139.0000000,3.139.0000000,50
82493_090101_130416,D,20120907,000000,2.400.0000000,3.139.0000000,2.400.0000000,3.139.0000000,66
82493_090101_130416,D,20120911,000000,3.098.0000000,3.098.0000000,3.098.0000000,3.098.0000000,3
82493_090101_130416,D,20120913,000000,2.625.0000000,3.098.0000000,2.625.0000000,3.098.0000000,69
82493_090101_130416,D,20120917,000000,3.099.5000000,3.099.5000000,3.094.0000000,3.094.0000000,67
82493_090101_130416,D,20120918,000000,2.530.0000000,3.092.0000000,2.530.0000000,3.048.9000000,219
82493_090101_130416,D,20120919,000000,2.530.0000000,3.120.0000000,2.530.0000000,3.120.0000000,92
82493_090101_130416,D,20120920,000000,3.100.0000000,3.147.0000000,3.100.0000000,3.140.0000000,41
82493_090101_130416,D,20120924,000000,2.900.0000000,2.900.0000000,2.900.0000000,2.900.0000000,2
82493_090101_130416,D,20120925,000000,2.899.9000000,3.055.0000000,2.737.0000000,2.950.0000000,43
82493_090101_130416,D,20120926,000000,2.777.0000000,3.054.8000000,2.769.9000000,3.054.8000000,34
82493_090101_130416,D,20120928,000000,3.052.8000000,3.052.8000000,3.052.8000000,3.052.8000000,1
82493_090101_130416,D,20121001,000000,3.050.0000000,3.050.0000000,3.050.0000000,3.050.0000000,4
82493_090101_130416,D,20121003,000000,2.828.1000000,3.029.9000000,2.802.0000000,3.029.9000000,6
82493_090101_130416,D,20121004,000000,2.750.1000000,2.950.0000000,2.750.0000000,2.950.0000000,7
82493_090101_130416,D,20121005,000000,2.706.0000000,2.971.0000000,2.706.0000000,2.971.0000000,67
