<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
81575_090101_130416,D,20111026,000000,18.0000000,21.6680000,15.5010000,18.9690000,16.200
81575_090101_130416,D,20111027,000000,18.0000000,20.0000000,18.0000000,18.0000000,5.900
81575_090101_130416,D,20111028,000000,18.9900000,20.0000000,18.0020000,18.0020000,6.200
81575_090101_130416,D,20111031,000000,16.0000000,18.7500000,16.0000000,18.7500000,2.100
81575_090101_130416,D,20111101,000000,17.5000000,17.5000000,16.5100000,17.5000000,2.300
81575_090101_130416,D,20111102,000000,17.4950000,18.5000000,17.4950000,18.0000000,1.000
81575_090101_130416,D,20111103,000000,17.5000000,18.0000000,15.5100000,17.2500000,6.700
81575_090101_130416,D,20111107,000000,17.2500000,17.5000000,17.2500000,17.5000000,600
81575_090101_130416,D,20111108,000000,14.5100000,17.0700000,14.5100000,17.0700000,200
81575_090101_130416,D,20111109,000000,15.0000000,16.9490000,15.0000000,15.5010000,6.500
81575_090101_130416,D,20111110,000000,16.9990000,17.0000000,16.9990000,17.0000000,3.000
81575_090101_130416,D,20111111,000000,16.5000000,19.0000000,15.5010000,19.0000000,22.100
81575_090101_130416,D,20111114,000000,19.0000000,20.0000000,19.0000000,19.9990000,500
81575_090101_130416,D,20111115,000000,19.0000000,20.0000000,17.8000000,19.0000000,5.200
81575_090101_130416,D,20111116,000000,19.0000000,21.0000000,19.0000000,19.5010000,4.500
81575_090101_130416,D,20111117,000000,19.0000000,19.0000000,18.9990000,19.0000000,4.000
81575_090101_130416,D,20111118,000000,17.0010000,17.3020000,16.0200000,16.2580000,6.900
81575_090101_130416,D,20111121,000000,16.0010000,18.0000000,15.7000000,18.0000000,3.100
81575_090101_130416,D,20111122,000000,17.9990000,20.5000000,17.9990000,18.0000000,16.500
81575_090101_130416,D,20111123,000000,18.0000000,18.0000000,18.0000000,18.0000000,1.800
81575_090101_130416,D,20111124,000000,18.0000000,18.0000000,18.0000000,18.0000000,500
81575_090101_130416,D,20111128,000000,18.5000000,18.9990000,18.5000000,18.7000000,12.400
81575_090101_130416,D,20111130,000000,18.9900000,18.9900000,18.7000000,18.7000000,2.700
81575_090101_130416,D,20111201,000000,19.0000000,20.0000000,19.0000000,19.4900000,1.900
81575_090101_130416,D,20111202,000000,17.5000000,18.0000000,17.1080000,17.1080000,15.300
81575_090101_130416,D,20111205,000000,17.5000000,18.0000000,17.5000000,18.0000000,5.900
81575_090101_130416,D,20111208,000000,16.5010000,16.5010000,16.5010000,16.5010000,300
81575_090101_130416,D,20111209,000000,16.5050000,16.5050000,14.6040000,15.1770000,2.600
81575_090101_130416,D,20111212,000000,15.7010000,15.7010000,15.4000000,15.5000000,900
81575_090101_130416,D,20111214,000000,13.0500000,15.0050000,13.0500000,15.0000000,26.200
81575_090101_130416,D,20111215,000000,15.0040000,15.0040000,15.0040000,15.0040000,100
81575_090101_130416,D,20111219,000000,14.5000000,14.5000000,14.0000000,14.0000000,2.000
81575_090101_130416,D,20111220,000000,16.9550000,16.9560000,15.2500000,16.9000000,2.100
81575_090101_130416,D,20111221,000000,16.0000000,16.4990000,12.0210000,15.3910000,11.900
81575_090101_130416,D,20111222,000000,14.0500000,16.9900000,14.0500000,16.9900000,2.900
81575_090101_130416,D,20111223,000000,14.5040000,15.3970000,13.0000000,15.3970000,13.200
