<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
31_090101_130416,D,20090112,000000,15.7000000,15.7000000,14.9000000,14.9000000,2.200
31_090101_130416,D,20090113,000000,14.1000000,14.1500000,14.0000000,14.0000000,2.600
31_090101_130416,D,20090114,000000,13.4500000,13.4500000,13.2000000,13.2000000,400
31_090101_130416,D,20090115,000000,13.2000000,13.2000000,9.2400000,9.2400000,215.100
31_090101_130416,D,20090119,000000,9.2590000,9.2590000,8.0000000,8.0700000,16.200
31_090101_130416,D,20090120,000000,9.8990000,9.8990000,7.5000000,7.6000000,42.200
31_090101_130416,D,20090121,000000,9.2990000,9.2990000,7.0000000,7.6000000,4.200
31_090101_130416,D,20090122,000000,8.4000000,9.0000000,7.6000000,7.6000000,10.300
31_090101_130416,D,20090126,000000,8.0010000,8.7990000,8.0000000,8.0000000,94.600
31_090101_130416,D,20090127,000000,8.9780000,8.9780000,7.0100000,7.0100000,385.000
31_090101_130416,D,20090128,000000,7.8000000,7.8000000,7.8000000,7.8000000,700
31_090101_130416,D,20090129,000000,8.5000000,8.5000000,7.5000000,7.5000000,5.500
31_090101_130416,D,20090130,000000,7.7000000,7.7000000,7.0040000,7.7000000,11.500
31_090101_130416,D,20090202,000000,7.1000000,8.1000000,7.0020000,7.0020000,10.200
31_090101_130416,D,20090203,000000,7.9000000,7.9000000,7.5000000,7.5000000,1.100
31_090101_130416,D,20090204,000000,7.1110000,7.9990000,7.1110000,7.9990000,2.000
31_090101_130416,D,20090205,000000,7.9950000,7.9950000,7.9000000,7.9000000,3.100
31_090101_130416,D,20090206,000000,7.3000000,7.8500000,7.3000000,7.8500000,2.700
31_090101_130416,D,20090209,000000,7.2000000,7.4000000,7.0010000,7.4000000,17.100
31_090101_130416,D,20090210,000000,7.0210000,7.4990000,7.0120000,7.2000000,5.600
31_090101_130416,D,20090211,000000,7.2010000,7.7800000,7.2010000,7.5510000,25.100
31_090101_130416,D,20090212,000000,7.5020000,9.7880000,7.5000000,9.7880000,32.600
31_090101_130416,D,20090216,000000,9.7000000,9.7000000,8.3000000,8.3070000,7.400
31_090101_130416,D,20090217,000000,8.3070000,8.3070000,7.5200000,7.5260000,12.200
