<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
16455_090101_130416,D,20090217,000000,5.8490000,5.8490000,5.8490000,5.8490000,100
16455_090101_130416,D,20090323,000000,5.5550000,5.5550000,5.5550000,5.5550000,100
16455_090101_130416,D,20090324,000000,5.4440000,5.4440000,3.3330000,3.3330000,1.700
16455_090101_130416,D,20090327,000000,3.3330000,3.3330000,3.3330000,3.3330000,600
16455_090101_130416,D,20090403,000000,4.6000000,4.6000000,4.6000000,4.6000000,100
16455_090101_130416,D,20090406,000000,5.8000000,5.8000000,5.8000000,5.8000000,100
16455_090101_130416,D,20090408,000000,3.8460000,5.9990000,3.8460000,5.9990000,600
16455_090101_130416,D,20090413,000000,3.5310000,6.5550000,3.5310000,6.3000000,2.700
16455_090101_130416,D,20090423,000000,6.3330000,6.5000000,6.3330000,6.5000000,600
16455_090101_130416,D,20090424,000000,6.0000000,6.0000000,6.0000000,6.0000000,100
16455_090101_130416,D,20090519,000000,3.6000000,7.0000000,3.6000000,6.9000000,18.800
16455_090101_130416,D,20090609,000000,6.5500000,9.6600000,6.5500000,9.6600000,400
16455_090101_130416,D,20090615,000000,7.5000000,7.5000000,7.0000000,7.0000000,6.800
16455_090101_130416,D,20090624,000000,9.4900000,9.4900000,9.4900000,9.4900000,100
16455_090101_130416,D,20090626,000000,13.2000000,13.2000000,9.9570000,9.9570000,200
16455_090101_130416,D,20090629,000000,10.0000000,10.0000000,10.0000000,10.0000000,400
16455_090101_130416,D,20090706,000000,8.0000000,8.0000000,8.0000000,8.0000000,500
16455_090101_130416,D,20090710,000000,5.2000000,6.5000000,4.8000000,4.8010000,5.200
16455_090101_130416,D,20090713,000000,5.2490000,5.2500000,5.2490000,5.2500000,500
16455_090101_130416,D,20090714,000000,6.9000000,7.3500000,6.9000000,7.3500000,500
16455_090101_130416,D,20090716,000000,4.6010000,5.8000000,4.5000000,5.8000000,2.900
16455_090101_130416,D,20090720,000000,4.6020000,5.2000000,4.6020000,5.0000000,1.100
16455_090101_130416,D,20090723,000000,6.1600000,6.1600000,5.2000000,6.0000000,2.700
16455_090101_130416,D,20090724,000000,4.7010000,4.7010000,4.7010000,4.7010000,100
16455_090101_130416,D,20090807,000000,4.0200000,4.0200000,4.0200000,4.0200000,100
16455_090101_130416,D,20090810,000000,5.6280000,5.6280000,4.5010000,4.5010000,300
16455_090101_130416,D,20090812,000000,4.0000000,4.7990000,3.9540000,4.7870000,4.900
16455_090101_130416,D,20090813,000000,4.0160000,5.1990000,4.0000000,4.3700000,12.900
16455_090101_130416,D,20090814,000000,4.0010000,4.7990000,4.0000000,4.0000000,15.200
16455_090101_130416,D,20090818,000000,4.0000000,4.0000000,4.0000000,4.0000000,1.300
16455_090101_130416,D,20090820,000000,4.1000000,4.1000000,4.1000000,4.1000000,100
16455_090101_130416,D,20090821,000000,3.9100000,4.0000000,3.4000000,4.0000000,6.800
16455_090101_130416,D,20090824,000000,4.0000000,4.0000000,3.5560000,3.5560000,1.800
16455_090101_130416,D,20090825,000000,4.0990000,4.2000000,4.0990000,4.1400000,26.900
16455_090101_130416,D,20090826,000000,4.1400000,4.1400000,4.1400000,4.1400000,100
16455_090101_130416,D,20090909,000000,4.1000000,4.1000000,4.1000000,4.1000000,100
16455_090101_130416,D,20090910,000000,3.5570000,4.2980000,3.5570000,4.2980000,400
16455_090101_130416,D,20090911,000000,4.4000000,4.4430000,4.4000000,4.4430000,2.000
16455_090101_130416,D,20090917,000000,4.0100000,4.0100000,4.0100000,4.0100000,200
