<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
22891_090101_130416,D,20100309,000000,700.0000000,720.0000000,700.0000000,720.0000000,829
22891_090101_130416,D,20100310,000000,790.0000000,1.008.0000000,790.0000000,1.008.0000000,1.162
22891_090101_130416,D,20100311,000000,1.010.0500000,1.411.2000000,1.000.0000000,1.285.9800000,5.197
22891_090101_130416,D,20100312,000000,1.248.1000000,1.499.0000000,1.164.1300000,1.345.0000000,2.534
22891_090101_130416,D,20100315,000000,1.428.0000000,1.428.0000000,1.121.0100000,1.150.0000000,4.273
22891_090101_130416,D,20100316,000000,1.150.0000000,1.159.9900000,1.087.0200000,1.118.9900000,2.615
22891_090101_130416,D,20100317,000000,1.196.9700000,1.196.9800000,1.087.0000000,1.116.9800000,2.753
22891_090101_130416,D,20100318,000000,1.117.1100000,1.128.9800000,1.060.0000000,1.070.0000000,1.502
22891_090101_130416,D,20100319,000000,1.079.9900000,1.296.0000000,1.050.0000000,1.189.9800000,5.844
22891_090101_130416,D,20100322,000000,1.173.5800000,1.195.5700000,1.129.5500000,1.163.0000000,1.234
22891_090101_130416,D,20100323,000000,1.145.0200000,1.189.8300000,1.080.0000000,1.120.0200000,2.862
22891_090101_130416,D,20100324,000000,1.160.0000000,1.160.0000000,1.080.0000000,1.104.8800000,1.511
22891_090101_130416,D,20100325,000000,1.106.0700000,1.124.9400000,1.050.0000000,1.069.2500000,1.454
22891_090101_130416,D,20100326,000000,1.047.0000000,1.078.8700000,1.031.0000000,1.059.9900000,833
22891_090101_130416,D,20100329,000000,1.035.0000000,1.063.9600000,900.0000000,1.013.0000000,3.686
22891_090101_130416,D,20100330,000000,995.2900000,1.010.9900000,966.0000000,1.000.0000000,580
22891_090101_130416,D,20100331,000000,990.0000000,1.034.8600000,975.0000000,1.011.9800000,3.602
22891_090101_130416,D,20100401,000000,1.000.0000000,1.013.2700000,980.0000000,1.000.0000000,1.083
22891_090101_130416,D,20100402,000000,1.000.0000000,1.022.4000000,952.1000000,990.8300000,2.160
22891_090101_130416,D,20100405,000000,990.8300000,1.099.0000000,980.0000000,1.015.0000000,4.687
22891_090101_130416,D,20100406,000000,1.005.1800000,1.019.8000000,995.0000000,1.005.1600000,670
22891_090101_130416,D,20100407,000000,985.0000000,1.008.0000000,952.5500000,975.0000000,942
22891_090101_130416,D,20100408,000000,965.0000000,987.3100000,955.0000000,974.3100000,266
22891_090101_130416,D,20100409,000000,974.8800000,996.9900000,942.7500000,956.8000000,1.808
22891_090101_130416,D,20100412,000000,946.0000000,976.0000000,923.3500000,949.9700000,438
22891_090101_130416,D,20100413,000000,950.0000000,950.0000000,905.0000000,910.0100000,805
22891_090101_130416,D,20100414,000000,915.0500000,967.0000000,915.0000000,962.6800000,954
22891_090101_130416,D,20100415,000000,963.4400000,963.4700000,928.0000000,952.4600000,311
22891_090101_130416,D,20100416,000000,938.3200000,952.9900000,890.0000000,919.0000000,1.349
22891_090101_130416,D,20100419,000000,910.0000000,910.0000000,817.0100000,839.8700000,2.646
22891_090101_130416,D,20100420,000000,849.0200000,868.0000000,824.0000000,840.0000000,595
22891_090101_130416,D,20100421,000000,845.6600000,869.9800000,835.0000000,842.1000000,579
22891_090101_130416,D,20100422,000000,834.9900000,842.5100000,811.0000000,830.0000000,412
22891_090101_130416,D,20100423,000000,805.0900000,838.9000000,800.0000000,823.6200000,203
22891_090101_130416,D,20100426,000000,827.5500000,834.9900000,798.4100000,798.4100000,305
22891_090101_130416,D,20100427,000000,805.6000000,805.6000000,768.0000000,788.0000000,311
22891_090101_130416,D,20100428,000000,750.0000000,777.7600000,725.0000000,763.9800000,776
22891_090101_130416,D,20100429,000000,749.9500000,757.4300000,730.0000000,749.9300000,597
22891_090101_130416,D,20100430,000000,727.5500000,754.9800000,725.0000000,726.9900000,280
22891_090101_130416,D,20100504,000000,735.1700000,748.9900000,700.0000000,713.5500000,256
22891_090101_130416,D,20100505,000000,706.4900000,711.0000000,662.0000000,696.9900000,308
22891_090101_130416,D,20100506,000000,662.0000000,690.0000000,649.9900000,685.0000000,394
22891_090101_130416,D,20100507,000000,668.0000000,668.0000000,610.0000000,610.3000000,675
22891_090101_130416,D,20100511,000000,616.3000000,683.0000000,610.3000000,634.9900000,19
22891_090101_130416,D,20100512,000000,607.0100000,672.0000000,607.0100000,664.9900000,70
22891_090101_130416,D,20100513,000000,674.5700000,674.5700000,628.1600000,660.9000000,169
22891_090101_130416,D,20100514,000000,630.0100000,659.9500000,630.0100000,659.9500000,10
22891_090101_130416,D,20100517,000000,621.0000000,649.9800000,590.0000000,639.8700000,62
22891_090101_130416,D,20100518,000000,663.9900000,663.9900000,623.0000000,634.0000000,23
22891_090101_130416,D,20100519,000000,607.8100000,607.8100000,580.2100000,580.2100000,187
22891_090101_130416,D,20100520,000000,600.0000000,607.0000000,570.0000000,590.0000000,139
22891_090101_130416,D,20100521,000000,567.1900000,570.0000000,555.0000000,570.0000000,144
22891_090101_130416,D,20100524,000000,580.0000000,588.0000000,555.0000000,555.0000000,106
22891_090101_130416,D,20100525,000000,550.0100000,574.9900000,535.0100000,574.7400000,59
22891_090101_130416,D,20100526,000000,563.0000000,590.0000000,563.0000000,579.9900000,72
22891_090101_130416,D,20100527,000000,562.0100000,590.0000000,562.0000000,569.0700000,42
22891_090101_130416,D,20100528,000000,567.0000000,592.0000000,502.0000000,555.0000000,461
22891_090101_130416,D,20100531,000000,550.0000000,557.0000000,536.0000000,551.0000000,101
22891_090101_130416,D,20100601,000000,530.0000000,555.0000000,530.0000000,553.9200000,39
22891_090101_130416,D,20100602,000000,530.0000000,555.0000000,530.0000000,554.9900000,103
22891_090101_130416,D,20100603,000000,555.0000000,688.0000000,555.0000000,669.9900000,594
22891_090101_130416,D,20100604,000000,627.0000000,659.0000000,581.0000000,649.4400000,238
22891_090101_130416,D,20100607,000000,615.0000000,620.0000000,610.0000000,620.0000000,114
22891_090101_130416,D,20100608,000000,600.6100000,619.9600000,583.5600000,609.9800000,106
22891_090101_130416,D,20100609,000000,630.0000000,670.0000000,617.0000000,644.9900000,890
22891_090101_130416,D,20100610,000000,658.9700000,658.9700000,604.0000000,619.9700000,605
22891_090101_130416,D,20100611,000000,603.0000000,618.6600000,603.0000000,618.6600000,18
22891_090101_130416,D,20100615,000000,618.0000000,627.9700000,616.9800000,627.9700000,193
22891_090101_130416,D,20100616,000000,628.0000000,628.0000000,595.0000000,612.9800000,85
22891_090101_130416,D,20100617,000000,612.9900000,612.9900000,556.0000000,583.2500000,261
22891_090101_130416,D,20100618,000000,589.0800000,635.0000000,580.1000000,590.1100000,60
22891_090101_130416,D,20100621,000000,595.8900000,648.9900000,595.8900000,611.0000000,156
22891_090101_130416,D,20100622,000000,602.7900000,602.7900000,579.0000000,596.8200000,17
22891_090101_130416,D,20100623,000000,591.0000000,608.9900000,590.9100000,608.9900000,4
22891_090101_130416,D,20100625,000000,590.9100000,596.8200000,579.0000000,579.0000000,13
22891_090101_130416,D,20100628,000000,585.0600000,619.9800000,585.0600000,597.0500000,5
