<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
16547_090101_130416,D,20090111,000000,2.1000000,2.1000000,1.8970000,1.8970000,800
16547_090101_130416,D,20090126,000000,1.6200000,1.6200000,1.6200000,1.6200000,18.800
16547_090101_130416,D,20090129,000000,1.9500000,1.9500000,1.9500000,1.9500000,300
16547_090101_130416,D,20090204,000000,2.0200000,2.0200000,2.0200000,2.0200000,1.900
16547_090101_130416,D,20090212,000000,2.4970000,2.4970000,2.4970000,2.4970000,900
16547_090101_130416,D,20090216,000000,1.9000000,1.9000000,1.8890000,1.8890000,1.400
16547_090101_130416,D,20090225,000000,2.2000000,2.2000000,2.2000000,2.2000000,900
16547_090101_130416,D,20090226,000000,1.9000000,1.9000000,1.9000000,1.9000000,1.000
16547_090101_130416,D,20090227,000000,1.8000000,1.9970000,1.8000000,1.9970000,3.500
16547_090101_130416,D,20090313,000000,2.1960000,2.1960000,2.1960000,2.1960000,600
16547_090101_130416,D,20090316,000000,3.0700000,3.0700000,2.7700000,2.8000000,19.000
16547_090101_130416,D,20090323,000000,1.9000000,1.9000000,1.9000000,1.9000000,700
16547_090101_130416,D,20090326,000000,2.2000000,2.2000000,2.1500000,2.1500000,600
16547_090101_130416,D,20090331,000000,2.4010000,2.4010000,2.1000000,2.1000000,200
16547_090101_130416,D,20090402,000000,2.9290000,2.9300000,2.9290000,2.9300000,5.200
16547_090101_130416,D,20090410,000000,4.0190000,4.0190000,4.0020000,4.0020000,400
16547_090101_130416,D,20090413,000000,3.9000000,3.9000000,3.9000000,3.9000000,500
16547_090101_130416,D,20090414,000000,3.8050000,3.8050000,3.8050000,3.8050000,100
16547_090101_130416,D,20090420,000000,4.0400000,4.2200000,2.7720000,2.7720000,3.800
16547_090101_130416,D,20090422,000000,4.0000000,4.0000000,4.0000000,4.0000000,3.700
16547_090101_130416,D,20090423,000000,4.2200000,4.5200000,4.2200000,4.5200000,13.800
16547_090101_130416,D,20090424,000000,4.0000000,4.2000000,3.8120000,4.2000000,2.400
16547_090101_130416,D,20090427,000000,3.8360000,3.8360000,3.8360000,3.8360000,200
16547_090101_130416,D,20090428,000000,3.8010000,3.8010000,3.8000000,3.8000000,1.600
16547_090101_130416,D,20090429,000000,4.9890000,4.9890000,3.1750000,3.4000000,20.100
16547_090101_130416,D,20090505,000000,3.3160000,4.6310000,3.2000000,3.5850000,13.300
16547_090101_130416,D,20090506,000000,3.5790000,3.7000000,3.5790000,3.7000000,1.200
16547_090101_130416,D,20090507,000000,3.8090000,3.9800000,3.6200000,3.6200000,5.500
16547_090101_130416,D,20090512,000000,3.8000000,4.8800000,3.8000000,4.8800000,3.100
16547_090101_130416,D,20090513,000000,4.8800000,4.9800000,4.2000000,4.2000000,34.300
16547_090101_130416,D,20090514,000000,3.6200000,3.6200000,3.3500000,3.3500000,19.000
16547_090101_130416,D,20090515,000000,3.5490000,3.6100000,3.3590000,3.3590000,9.500
16547_090101_130416,D,20090518,000000,3.2200000,4.0000000,3.2000000,4.0000000,120.400
16547_090101_130416,D,20090519,000000,4.0000000,4.0000000,4.0000000,4.0000000,3.900
16547_090101_130416,D,20090522,000000,4.3430000,4.9900000,4.3430000,4.9900000,23.700
16547_090101_130416,D,20090525,000000,5.4500000,5.4500000,5.4500000,5.4500000,229.400
16547_090101_130416,D,20090527,000000,5.4500000,6.0000000,5.4500000,6.0000000,2.500
