<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
16518_090101_130416,D,20090111,000000,0.3010000,0.3010000,0.3010000,0.3010000,13.400
16518_090101_130416,D,20090112,000000,0.3010000,0.3010000,0.3000000,0.3000000,49.800
16518_090101_130416,D,20090113,000000,0.3110000,0.3110000,0.3110000,0.3110000,100
16518_090101_130416,D,20090114,000000,0.3340000,0.3340000,0.2740000,0.3300000,45.500
16518_090101_130416,D,20090115,000000,0.2660000,0.3000000,0.2610000,0.2880000,9.000
16518_090101_130416,D,20090119,000000,0.2810000,0.3000000,0.2810000,0.2810000,21.100
16518_090101_130416,D,20090120,000000,0.3020000,0.3020000,0.3000000,0.3000000,149.700
16518_090101_130416,D,20090122,000000,0.3000000,0.3300000,0.3000000,0.3300000,102.200
16518_090101_130416,D,20090126,000000,0.3000000,0.3000000,0.3000000,0.3000000,16.600
16518_090101_130416,D,20090127,000000,0.3000000,0.3000000,0.3000000,0.3000000,30.000
16518_090101_130416,D,20090129,000000,0.2800000,0.3370000,0.2760000,0.3370000,350.900
16518_090101_130416,D,20090130,000000,0.3280000,0.3280000,0.3280000,0.3280000,400
16518_090101_130416,D,20090203,000000,0.3000000,0.3250000,0.3000000,0.3000000,30.500
16518_090101_130416,D,20090204,000000,0.2910000,0.3230000,0.2910000,0.3200000,155.000
16518_090101_130416,D,20090205,000000,0.3100000,0.3130000,0.3000000,0.3000000,30.000
16518_090101_130416,D,20090206,000000,0.3130000,0.3130000,0.3070000,0.3070000,50.100
16518_090101_130416,D,20090209,000000,0.3000000,0.3110000,0.3000000,0.3110000,56.100
16518_090101_130416,D,20090210,000000,0.3000000,0.3580000,0.3000000,0.3580000,42.300
16518_090101_130416,D,20090211,000000,0.3500000,0.4830000,0.3500000,0.4830000,92.000
16518_090101_130416,D,20090212,000000,0.4000000,0.4620000,0.4000000,0.4020000,230.800
16518_090101_130416,D,20090213,000000,0.4230000,0.4230000,0.4000000,0.4000000,100.600
16518_090101_130416,D,20090216,000000,0.4050000,0.4050000,0.4050000,0.4050000,5.000
16518_090101_130416,D,20090218,000000,0.4190000,0.4190000,0.4190000,0.4190000,1.600
16518_090101_130416,D,20090226,000000,0.3200000,0.4010000,0.3200000,0.4000000,60.900
16518_090101_130416,D,20090227,000000,0.4150000,0.4150000,0.4150000,0.4150000,5.000
16518_090101_130416,D,20090302,000000,0.4090000,0.4100000,0.4070000,0.4100000,15.100
16518_090101_130416,D,20090303,000000,0.3800000,0.3970000,0.3320000,0.3400000,56.200
16518_090101_130416,D,20090304,000000,0.3850000,0.4100000,0.3730000,0.4000000,243.600
16518_090101_130416,D,20090305,000000,0.3610000,0.4490000,0.3330000,0.3420000,17.600
16518_090101_130416,D,20090306,000000,0.3920000,0.3920000,0.3620000,0.3870000,900
16518_090101_130416,D,20090310,000000,0.4030000,0.4030000,0.3400000,0.3760000,28.900
16518_090101_130416,D,20090311,000000,0.3720000,0.3880000,0.3420000,0.3700000,33.400
16518_090101_130416,D,20090312,000000,0.3770000,0.3770000,0.3350000,0.3350000,1.200
16518_090101_130416,D,20090313,000000,0.3680000,0.3680000,0.3330000,0.3550000,2.400
16518_090101_130416,D,20090316,000000,0.3550000,0.3690000,0.3550000,0.3690000,300
16518_090101_130416,D,20090317,000000,0.3940000,0.4440000,0.3940000,0.3970000,27.900
16518_090101_130416,D,20090318,000000,0.3680000,0.3680000,0.3680000,0.3680000,200
16518_090101_130416,D,20090320,000000,0.4100000,0.4410000,0.4100000,0.4300000,395.000
16518_090101_130416,D,20090323,000000,0.4000000,0.4020000,0.4000000,0.4020000,10.200
16518_090101_130416,D,20090324,000000,0.4490000,0.5400000,0.4410000,0.5400000,19.600
16518_090101_130416,D,20090325,000000,0.5500000,0.7060000,0.5440000,0.7060000,5.700
16518_090101_130416,D,20090326,000000,0.7200000,0.8000000,0.7200000,0.8000000,200
16518_090101_130416,D,20090327,000000,0.8130000,0.8130000,0.4600000,0.5500000,25.200
16518_090101_130416,D,20090406,000000,0.6800000,0.7670000,0.4830000,0.4910000,44.500
16518_090101_130416,D,20090407,000000,0.4600000,0.4600000,0.4520000,0.4520000,4.100
16518_090101_130416,D,20090408,000000,0.4300000,0.5250000,0.4240000,0.5000000,6.900
16518_090101_130416,D,20090409,000000,0.4800000,0.5490000,0.4800000,0.5490000,3.500
16518_090101_130416,D,20090410,000000,0.5120000,0.5120000,0.5000000,0.5000000,3.400
16518_090101_130416,D,20090413,000000,0.6200000,0.7010000,0.5220000,0.6510000,16.300
16518_090101_130416,D,20090414,000000,0.6590000,0.8100000,0.6590000,0.8100000,2.900
16518_090101_130416,D,20090416,000000,0.7310000,0.7480000,0.6110000,0.7000000,2.800
16518_090101_130416,D,20090507,000000,0.5610000,0.5610000,0.5610000,0.5610000,200
16518_090101_130416,D,20090508,000000,0.6900000,0.7850000,0.6900000,0.7850000,80.000
16518_090101_130416,D,20090512,000000,0.8910000,0.8910000,0.7720000,0.8900000,3.100
16518_090101_130416,D,20090513,000000,0.8980000,0.9000000,0.6720000,0.7000000,6.400
16518_090101_130416,D,20090518,000000,0.8410000,0.9000000,0.8410000,0.8910000,4.800
16518_090101_130416,D,20090520,000000,0.8780000,0.8780000,0.8400000,0.8400000,600
16518_090101_130416,D,20090521,000000,0.8760000,0.9850000,0.7500000,0.7500000,115.000
16518_090101_130416,D,20090525,000000,0.8890000,0.9500000,0.7000000,0.8500000,142.300
16518_090101_130416,D,20090526,000000,0.7010000,0.7010000,0.6670000,0.6670000,500
16518_090101_130416,D,20090527,000000,0.8500000,0.8690000,0.6770000,0.7040000,22.400
