<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
16695_090101_130416,D,20090111,000000,0.0270000,0.0320000,0.0270000,0.0310000,107.500
16695_090101_130416,D,20090113,000000,0.0270000,0.0350000,0.0260000,0.0310000,298.500
16695_090101_130416,D,20090114,000000,0.0430000,0.0430000,0.0300000,0.0400000,332.000
16695_090101_130416,D,20090115,000000,0.0400000,0.0410000,0.0320000,0.0330000,70.800
16695_090101_130416,D,20090116,000000,0.0320000,0.0380000,0.0280000,0.0280000,307.700
16695_090101_130416,D,20090119,000000,0.0390000,0.0390000,0.0280000,0.0310000,31.900
16695_090101_130416,D,20090120,000000,0.0290000,0.0320000,0.0260000,0.0290000,52.400
16695_090101_130416,D,20090121,000000,0.0320000,0.0350000,0.0320000,0.0350000,486.400
16695_090101_130416,D,20090122,000000,0.0380000,0.0390000,0.0340000,0.0350000,9.600
16695_090101_130416,D,20090123,000000,0.0320000,0.0350000,0.0320000,0.0350000,210.200
16695_090101_130416,D,20090126,000000,0.0350000,0.0360000,0.0350000,0.0360000,400
16695_090101_130416,D,20090127,000000,0.0340000,0.0360000,0.0340000,0.0360000,50.200
16695_090101_130416,D,20090128,000000,0.0350000,0.0360000,0.0350000,0.0360000,200
16695_090101_130416,D,20090129,000000,0.0350000,0.0360000,0.0350000,0.0360000,200
16695_090101_130416,D,20090130,000000,0.0360000,0.0360000,0.0360000,0.0360000,300
16695_090101_130416,D,20090202,000000,0.0340000,0.0360000,0.0310000,0.0350000,11.600
16695_090101_130416,D,20090204,000000,0.0320000,0.0340000,0.0320000,0.0340000,400
16695_090101_130416,D,20090205,000000,0.0340000,0.0360000,0.0340000,0.0360000,10.000
16695_090101_130416,D,20090206,000000,0.0360000,0.0370000,0.0360000,0.0370000,7.600
16695_090101_130416,D,20090209,000000,0.0320000,0.0370000,0.0320000,0.0370000,200
16695_090101_130416,D,20090210,000000,0.0340000,0.0370000,0.0340000,0.0370000,3.000
16695_090101_130416,D,20090211,000000,0.0370000,0.0400000,0.0370000,0.0400000,58.000
16695_090101_130416,D,20090212,000000,0.0400000,0.0400000,0.0390000,0.0400000,10.300
16695_090101_130416,D,20090213,000000,0.0390000,0.0400000,0.0340000,0.0350000,431.300
16695_090101_130416,D,20090216,000000,0.0390000,0.0390000,0.0330000,0.0350000,6.800
16695_090101_130416,D,20090217,000000,0.0370000,0.0370000,0.0370000,0.0370000,100
16695_090101_130416,D,20090218,000000,0.0390000,0.0390000,0.0320000,0.0380000,40.200
16695_090101_130416,D,20090220,000000,0.0370000,0.0370000,0.0310000,0.0320000,400
16695_090101_130416,D,20090224,000000,0.0350000,0.0380000,0.0350000,0.0380000,28.700
16695_090101_130416,D,20090304,000000,0.0380000,0.0380000,0.0330000,0.0350000,700
16695_090101_130416,D,20090305,000000,0.0380000,0.0380000,0.0380000,0.0380000,100
16695_090101_130416,D,20090311,000000,0.0380000,0.0380000,0.0370000,0.0380000,2.200
16695_090101_130416,D,20090312,000000,0.0340000,0.0390000,0.0340000,0.0380000,2.300
16695_090101_130416,D,20090313,000000,0.0380000,0.0400000,0.0380000,0.0400000,100.000
16695_090101_130416,D,20090317,000000,0.0340000,0.0380000,0.0320000,0.0380000,20.900
16695_090101_130416,D,20090318,000000,0.0350000,0.0350000,0.0340000,0.0340000,33.400
16695_090101_130416,D,20090319,000000,0.0330000,0.0360000,0.0330000,0.0360000,22.700
16695_090101_130416,D,20090320,000000,0.0330000,0.0370000,0.0330000,0.0350000,62.900
16695_090101_130416,D,20090323,000000,0.0360000,0.0400000,0.0330000,0.0400000,208.500
16695_090101_130416,D,20090331,000000,0.0390000,0.0400000,0.0340000,0.0400000,600
16695_090101_130416,D,20090401,000000,0.0400000,0.0400000,0.0400000,0.0400000,100
16695_090101_130416,D,20090406,000000,0.0400000,0.0420000,0.0400000,0.0410000,166.100
16695_090101_130416,D,20090407,000000,0.0430000,0.0430000,0.0430000,0.0430000,500
16695_090101_130416,D,20090408,000000,0.0430000,0.0430000,0.0370000,0.0430000,74.700
16695_090101_130416,D,20090409,000000,0.0350000,0.0420000,0.0350000,0.0420000,1.200
16695_090101_130416,D,20090410,000000,0.0390000,0.0400000,0.0390000,0.0400000,287.300
16695_090101_130416,D,20090414,000000,0.0400000,0.0560000,0.0400000,0.0520000,346.700
16695_090101_130416,D,20090415,000000,0.0700000,0.0700000,0.0700000,0.0700000,100
16695_090101_130416,D,20090416,000000,0.0690000,0.0700000,0.0670000,0.0700000,15.000
16695_090101_130416,D,20090417,000000,0.0780000,0.0780000,0.0580000,0.0710000,46.000
16695_090101_130416,D,20090420,000000,0.0490000,0.0700000,0.0490000,0.0690000,800
16695_090101_130416,D,20090422,000000,0.0580000,0.0670000,0.0580000,0.0670000,3.700
16695_090101_130416,D,20090423,000000,0.0600000,0.0690000,0.0600000,0.0690000,900
16695_090101_130416,D,20090424,000000,0.0600000,0.0690000,0.0510000,0.0640000,430.800
16695_090101_130416,D,20090427,000000,0.0630000,0.0690000,0.0560000,0.0650000,146.900
16695_090101_130416,D,20090428,000000,0.0650000,0.0650000,0.0600000,0.0650000,15.200
