<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20107_090101_130416,D,20090111,000000,0.0900000,0.0948000,0.0860000,0.0896000,5.508.600
20107_090101_130416,D,20090112,000000,0.0900000,0.0916000,0.0830000,0.0881000,2.919.300
20107_090101_130416,D,20090113,000000,0.0887000,0.0937000,0.0800000,0.0889000,8.937.300
20107_090101_130416,D,20090114,000000,0.0929000,0.0936000,0.0852000,0.0909000,29.913.700
20107_090101_130416,D,20090115,000000,0.0925000,0.0938000,0.0857000,0.0916000,66.149.200
20107_090101_130416,D,20090116,000000,0.0918000,0.0918000,0.0882000,0.0900000,52.297.700
20107_090101_130416,D,20090119,000000,0.0915000,0.0916000,0.0880000,0.0893000,44.990.000
20107_090101_130416,D,20090120,000000,0.0899000,0.0910000,0.0802000,0.0897000,48.677.900
20107_090101_130416,D,20090121,000000,0.0880000,0.0919000,0.0880000,0.0916000,47.819.400
20107_090101_130416,D,20090122,000000,0.0917000,0.0918000,0.0880000,0.0912000,43.447.100
20107_090101_130416,D,20090123,000000,0.0916000,0.0916000,0.0855000,0.0897000,26.377.400
20107_090101_130416,D,20090126,000000,0.0917000,0.0950000,0.0910000,0.0949000,108.452.300
20107_090101_130416,D,20090127,000000,0.0959000,0.0959000,0.0888000,0.0941000,32.404.300
20107_090101_130416,D,20090128,000000,0.0874000,0.0957000,0.0850000,0.0890000,39.105.800
20107_090101_130416,D,20090129,000000,0.0888000,0.0900000,0.0865000,0.0870000,54.611.400
20107_090101_130416,D,20090130,000000,0.0899000,0.0899000,0.0821000,0.0860000,20.862.100
20107_090101_130416,D,20090202,000000,0.0861000,0.0877000,0.0830000,0.0864000,48.204.200
20107_090101_130416,D,20090203,000000,0.0869000,0.0877000,0.0831000,0.0865000,38.512.400
20107_090101_130416,D,20090204,000000,0.0887000,0.0888000,0.0856000,0.0864000,79.115.700
20107_090101_130416,D,20090205,000000,0.0841000,0.0877000,0.0832000,0.0853000,265.800
20107_090101_130416,D,20090206,000000,0.0879000,0.0879000,0.0859000,0.0870000,8.153.400
20107_090101_130416,D,20090209,000000,0.0888000,0.0913000,0.0831000,0.0905000,51.151.200
20107_090101_130416,D,20090210,000000,0.0915000,0.0921000,0.0882000,0.0900000,38.250.600
20107_090101_130416,D,20090211,000000,0.0919000,0.0949000,0.0882000,0.0940000,68.856.100
20107_090101_130416,D,20090212,000000,0.0950000,0.0999000,0.0940000,0.0940000,35.164.600
20107_090101_130416,D,20090213,000000,0.0998000,0.1200000,0.0940000,0.1024000,37.740.600
20107_090101_130416,D,20090217,000000,0.1333000,0.1450000,0.0958000,0.0994000,21.930.100
20107_090101_130416,D,20090218,000000,0.0999000,0.1170000,0.0910000,0.0999000,41.855.200
20107_090101_130416,D,20090219,000000,0.1100000,0.1100000,0.0949000,0.1050000,30.889.600
20107_090101_130416,D,20090220,000000,0.1000000,0.1100000,0.0930000,0.1028000,33.552.000
