<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
80316_090101_130416,D,20110310,000000,84.0000000,84.0000000,84.0000000,84.0000000,2.200
80316_090101_130416,D,20110311,000000,117.6000000,117.6000000,117.6000000,117.6000000,15.900
80316_090101_130416,D,20110314,000000,164.6400000,164.6400000,86.8000000,100.0000000,84.200
80316_090101_130416,D,20110315,000000,95.0000000,100.0000000,85.1000000,95.0000000,11.700
80316_090101_130416,D,20110316,000000,97.9900000,97.9900000,85.0900000,94.5900000,13.100
80316_090101_130416,D,20110317,000000,87.0100000,90.0000000,84.0200000,90.0000000,3.800
80316_090101_130416,D,20110318,000000,91.0000000,99.9900000,88.0000000,90.7600000,9.400
80316_090101_130416,D,20110321,000000,87.0200000,93.7500000,84.1100000,88.0000000,9.600
80316_090101_130416,D,20110322,000000,86.2300000,88.9700000,84.2200000,86.3000000,7.900
80316_090101_130416,D,20110323,000000,84.1100000,89.9700000,80.0000000,85.8400000,11.800
80316_090101_130416,D,20110324,000000,83.0100000,84.0000000,82.3800000,84.0000000,1.800
80316_090101_130416,D,20110325,000000,83.2400000,109.0000000,83.2200000,91.2100000,37.200
80316_090101_130416,D,20110328,000000,94.9900000,99.9900000,88.9800000,88.9800000,22.500
80316_090101_130416,D,20110329,000000,89.1100000,98.0000000,87.2200000,97.9900000,7.700
80316_090101_130416,D,20110330,000000,93.8800000,99.0000000,91.1500000,99.0000000,4.700
80316_090101_130416,D,20110331,000000,99.8000000,99.8000000,92.1000000,94.0000000,6.000
80316_090101_130416,D,20110401,000000,97.4900000,97.5000000,94.1200000,95.0000000,1.800
80316_090101_130416,D,20110404,000000,93.4200000,94.0000000,92.2200000,92.5000000,2.000
80316_090101_130416,D,20110405,000000,91.1500000,95.0000000,88.2000000,88.8000000,18.900
80316_090101_130416,D,20110406,000000,89.9500000,92.0000000,89.5000000,90.9700000,2.600
80316_090101_130416,D,20110407,000000,91.0000000,92.9900000,89.0000000,90.0000000,6.700
80316_090101_130416,D,20110408,000000,90.0000000,92.0000000,90.0000000,91.0000000,10.900
80316_090101_130416,D,20110411,000000,91.0000000,91.0000000,85.0000000,85.0000000,20.800
80316_090101_130416,D,20110412,000000,82.2000000,90.0000000,80.0100000,85.9900000,13.600
80316_090101_130416,D,20110413,000000,86.5000000,88.8200000,80.0100000,84.9500000,23.600
80316_090101_130416,D,20110414,000000,86.0000000,86.2000000,82.1500000,83.0000000,14.700
80316_090101_130416,D,20110415,000000,82.0100000,83.4600000,78.9900000,79.0500000,15.000
80316_090101_130416,D,20110418,000000,80.8400000,87.5000000,74.0000000,75.9000000,35.900
80316_090101_130416,D,20110419,000000,75.9900000,79.0000000,73.8900000,78.9500000,7.900
80316_090101_130416,D,20110420,000000,79.1900000,80.2000000,73.5000000,75.1900000,14.200
80316_090101_130416,D,20110421,000000,73.1100000,75.9400000,73.0000000,74.5000000,3.800
80316_090101_130416,D,20110422,000000,73.7300000,74.9400000,73.1100000,74.0000000,3.800
80316_090101_130416,D,20110425,000000,74.1400000,77.0900000,74.1400000,76.5000000,4.500
80316_090101_130416,D,20110426,000000,77.0000000,77.0000000,74.0100000,75.0000000,1.100
80316_090101_130416,D,20110427,000000,75.2000000,84.0000000,75.0000000,78.4800000,2.600
80316_090101_130416,D,20110428,000000,73.5200000,77.9700000,73.5100000,77.0000000,1.400
80316_090101_130416,D,20110429,000000,74.5300000,78.9300000,73.4900000,77.0000000,3.200
80316_090101_130416,D,20110503,000000,74.5300000,74.9900000,73.5100000,73.5100000,1.000
