<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
16456_090101_130416,D,20090111,000000,0.7290000,0.7290000,0.7290000,0.7290000,100
16456_090101_130416,D,20090112,000000,0.7300000,0.7300000,0.7300000,0.7300000,100
16456_090101_130416,D,20090113,000000,0.7200000,0.7200000,0.7200000,0.7200000,100
16456_090101_130416,D,20090114,000000,0.7300000,0.7300000,0.7240000,0.7240000,200
16456_090101_130416,D,20090115,000000,0.7200000,0.7200000,0.7200000,0.7200000,100
16456_090101_130416,D,20090116,000000,0.7290000,0.7290000,0.7290000,0.7290000,100
16456_090101_130416,D,20090119,000000,0.6900000,0.6900000,0.5630000,0.5630000,3.100
16456_090101_130416,D,20090121,000000,0.7150000,0.7880000,0.7150000,0.7180000,4.500
16456_090101_130416,D,20090126,000000,0.6890000,0.6890000,0.6890000,0.6890000,100
16456_090101_130416,D,20090127,000000,0.7290000,0.8300000,0.5650000,0.6390000,6.800
16456_090101_130416,D,20090129,000000,0.6640000,0.8360000,0.6640000,0.8360000,17.800
16456_090101_130416,D,20090130,000000,0.8250000,0.8250000,0.7600000,0.8250000,20.300
16456_090101_130416,D,20090203,000000,0.6000000,0.8500000,0.6000000,0.8500000,200
16456_090101_130416,D,20090204,000000,0.5200000,0.8900000,0.5200000,0.8900000,15.800
16456_090101_130416,D,20090205,000000,0.9000000,0.9000000,0.7730000,0.7740000,2.400
16456_090101_130416,D,20090206,000000,0.5600000,0.6900000,0.5600000,0.6900000,35.100
16456_090101_130416,D,20090209,000000,0.5620000,0.6250000,0.5620000,0.5700000,20.900
16456_090101_130416,D,20090210,000000,0.6880000,0.6880000,0.6490000,0.6490000,200
16456_090101_130416,D,20090211,000000,0.6800000,0.6800000,0.5840000,0.5850000,3.800
16456_090101_130416,D,20090212,000000,0.7200000,0.7200000,0.6900000,0.6900000,34.300
16456_090101_130416,D,20090213,000000,0.7250000,0.7500000,0.6650000,0.7500000,39.000
16456_090101_130416,D,20090216,000000,0.8000000,0.8500000,0.6000000,0.7700000,91.900
16456_090101_130416,D,20090217,000000,0.8400000,0.8400000,0.6460000,0.6460000,19.600
16456_090101_130416,D,20090218,000000,0.7000000,0.7200000,0.6990000,0.7200000,18.500
16456_090101_130416,D,20090219,000000,0.8000000,0.8960000,0.7770000,0.8960000,59.400
16456_090101_130416,D,20090220,000000,0.6260000,0.9000000,0.5030000,0.7000000,45.600
16456_090101_130416,D,20090224,000000,0.7000000,0.7100000,0.6100000,0.6970000,2.400
16456_090101_130416,D,20090225,000000,0.6900000,0.6900000,0.6010000,0.6020000,3.000
16456_090101_130416,D,20090226,000000,0.6020000,0.7000000,0.6020000,0.7000000,600
16456_090101_130416,D,20090227,000000,0.6950000,0.6950000,0.5500000,0.6800000,27.000
16456_090101_130416,D,20090302,000000,0.7770000,0.7770000,0.6440000,0.7200000,6.100
16456_090101_130416,D,20090304,000000,0.7620000,0.7620000,0.7550000,0.7550000,26.900
16456_090101_130416,D,20090305,000000,0.5400000,0.7440000,0.5400000,0.7440000,139.400
16456_090101_130416,D,20090306,000000,0.6860000,0.6860000,0.6100000,0.6860000,40.200
16456_090101_130416,D,20090310,000000,0.6700000,0.7290000,0.6700000,0.7290000,10.500
16456_090101_130416,D,20090311,000000,0.7400000,0.7600000,0.7200000,0.7200000,13.800
16456_090101_130416,D,20090312,000000,0.7700000,0.8440000,0.6630000,0.7280000,40.900
16456_090101_130416,D,20090313,000000,0.8000000,0.8300000,0.6250000,0.7450000,43.300
16456_090101_130416,D,20090316,000000,0.7240000,0.7400000,0.6170000,0.6970000,102.500
16456_090101_130416,D,20090317,000000,0.6000000,0.7690000,0.6000000,0.6800000,119.100
16456_090101_130416,D,20090318,000000,0.8000000,0.8000000,0.6300000,0.7770000,49.100
16456_090101_130416,D,20090319,000000,0.7990000,1.0880000,0.7000000,0.7040000,88.300
16456_090101_130416,D,20090320,000000,0.7060000,0.9990000,0.6200000,0.8000000,196.000
16456_090101_130416,D,20090323,000000,0.8000000,0.8000000,0.6650000,0.7900000,99.400
16456_090101_130416,D,20090324,000000,0.7510000,0.7510000,0.7500000,0.7500000,3.100
16456_090101_130416,D,20090325,000000,0.6700000,0.7530000,0.6000000,0.6500000,24.400
16456_090101_130416,D,20090326,000000,0.6500000,0.6500000,0.6500000,0.6500000,5.500
16456_090101_130416,D,20090327,000000,0.7520000,0.7540000,0.6540000,0.6770000,25.800
16456_090101_130416,D,20090331,000000,0.7500000,0.7500000,0.7500000,0.7500000,58.900
16456_090101_130416,D,20090402,000000,0.7350000,0.7350000,0.6100000,0.6400000,60.300
16456_090101_130416,D,20090403,000000,0.7000000,0.8000000,0.7000000,0.7500000,80.600
16456_090101_130416,D,20090406,000000,0.7990000,0.7990000,0.6710000,0.6710000,200
16456_090101_130416,D,20090407,000000,0.7950000,0.7970000,0.6590000,0.6650000,149.300
16456_090101_130416,D,20090408,000000,0.6700000,0.8700000,0.6700000,0.8700000,66.500
16456_090101_130416,D,20090409,000000,0.8900000,0.9400000,0.6910000,0.8030000,198.200
