<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
16782_090101_130416,D,20090111,000000,6.3100000,6.5500000,6.0130000,6.1150000,1.321.900
16782_090101_130416,D,20090112,000000,6.0800000,6.5490000,6.0800000,6.3580000,2.523.300
16782_090101_130416,D,20090113,000000,6.3300000,6.3640000,6.0000000,6.2000000,1.065.800
16782_090101_130416,D,20090114,000000,6.2670000,6.3600000,5.7700000,5.8210000,1.600.700
16782_090101_130416,D,20090115,000000,5.7880000,5.9700000,5.6000000,5.6000000,1.644.700
16782_090101_130416,D,20090116,000000,5.9000000,5.9680000,5.4990000,5.5000000,2.261.300
16782_090101_130416,D,20090119,000000,5.5300000,5.8000000,5.3500000,5.4090000,999.600
16782_090101_130416,D,20090120,000000,5.4110000,5.6500000,5.0300000,5.4100000,836.100
16782_090101_130416,D,20090121,000000,5.2980000,5.5410000,5.2000000,5.4500000,1.004.600
16782_090101_130416,D,20090122,000000,5.6130000,6.1000000,5.5230000,5.7300000,3.680.100
16782_090101_130416,D,20090123,000000,5.7300000,6.0800000,5.2000000,5.6210000,5.930.700
16782_090101_130416,D,20090126,000000,5.6700000,6.0000000,5.5810000,6.0000000,1.569.100
16782_090101_130416,D,20090127,000000,6.1000000,6.7300000,5.9310000,6.5150000,7.527.700
16782_090101_130416,D,20090128,000000,6.7700000,7.2000000,6.6100000,6.6970000,3.153.300
16782_090101_130416,D,20090129,000000,6.6900000,6.8500000,6.4020000,6.5870000,725.600
16782_090101_130416,D,20090130,000000,6.3560000,6.7100000,6.3030000,6.4290000,1.573.700
16782_090101_130416,D,20090202,000000,6.4330000,6.6960000,6.2200000,6.5000000,2.331.200
16782_090101_130416,D,20090203,000000,6.5680000,6.9500000,6.3500000,6.4500000,6.614.400
16782_090101_130416,D,20090204,000000,6.4800000,6.6790000,6.4220000,6.5510000,2.925.100
16782_090101_130416,D,20090205,000000,6.5510000,7.4980000,6.4160000,7.3000000,7.499.800
16782_090101_130416,D,20090206,000000,7.4250000,8.3900000,7.4000000,8.1500000,14.965.300
16782_090101_130416,D,20090209,000000,8.2990000,10.4100000,8.2000000,9.1810000,15.745.100
16782_090101_130416,D,20090210,000000,9.3600000,9.3700000,7.9000000,8.6000000,9.190.200
16782_090101_130416,D,20090211,000000,8.1700000,8.6890000,7.9200000,8.2560000,3.058.900
16782_090101_130416,D,20090212,000000,8.4990000,8.4990000,7.5100000,7.6300000,3.182.200
16782_090101_130416,D,20090213,000000,7.6950000,8.4000000,7.6520000,7.8790000,3.829.900
16782_090101_130416,D,20090216,000000,7.9000000,8.0900000,7.6150000,7.7400000,1.234.200
16782_090101_130416,D,20090217,000000,7.6980000,7.7000000,7.0100000,7.0200000,1.951.800
16782_090101_130416,D,20090218,000000,7.0980000,7.3500000,6.5370000,6.8610000,3.461.900
16782_090101_130416,D,20090219,000000,6.9670000,7.2200000,6.8830000,6.9700000,2.541.400
16782_090101_130416,D,20090220,000000,6.8200000,6.9800000,6.6100000,6.9190000,1.163.100
16782_090101_130416,D,20090224,000000,6.7990000,7.0000000,6.5010000,6.8000000,1.178.900
16782_090101_130416,D,20090225,000000,7.0100000,7.3490000,6.9200000,6.9700000,1.893.600
16782_090101_130416,D,20090226,000000,7.0500000,7.4990000,7.0500000,7.3850000,4.585.500
16782_090101_130416,D,20090227,000000,7.4010000,7.4080000,7.0350000,7.1860000,1.375.300
16782_090101_130416,D,20090302,000000,6.9450000,7.1960000,6.7000000,6.9890000,1.389.400
16782_090101_130416,D,20090303,000000,6.8020000,7.2700000,6.8000000,7.1920000,2.054.400
16782_090101_130416,D,20090304,000000,7.2400000,7.7000000,7.2400000,7.5000000,2.450.600
16782_090101_130416,D,20090305,000000,7.6960000,7.7000000,7.2110000,7.3200000,1.007.300
