<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
15736_090101_130416,D,20090111,000000,160.0000000,160.0000000,160.0000000,160.0000000,5
15736_090101_130416,D,20090113,000000,188.0000000,188.0000000,188.0000000,188.0000000,3
15736_090101_130416,D,20090116,000000,226.9900000,226.9900000,226.9900000,226.9900000,1
15736_090101_130416,D,20090119,000000,165.0000000,283.0000000,136.1900000,136.1900000,235
15736_090101_130416,D,20090120,000000,85.1100000,164.0000000,85.1100000,158.9900000,214
15736_090101_130416,D,20090121,000000,86.0300000,188.0000000,86.0300000,110.0000000,865
15736_090101_130416,D,20090122,000000,154.0000000,154.0000000,108.0000000,108.0100000,34
15736_090101_130416,D,20090123,000000,64.8100000,95.3000000,64.8100000,74.5300000,36
15736_090101_130416,D,20090126,000000,77.6300000,114.0000000,60.0100000,73.0000000,190
15736_090101_130416,D,20090127,000000,92.0100000,137.8900000,74.3200000,74.3400000,30
15736_090101_130416,D,20090130,000000,107.0000000,107.0000000,101.0000000,101.0000000,10
15736_090101_130416,D,20090202,000000,65.0000000,146.7300000,63.0000000,146.7300000,207
15736_090101_130416,D,20090203,000000,118.9000000,169.9900000,118.9000000,118.9000000,11
15736_090101_130416,D,20090204,000000,139.8900000,139.8900000,139.8900000,139.8900000,1
15736_090101_130416,D,20090205,000000,139.8900000,139.8900000,139.8900000,139.8900000,1
15736_090101_130416,D,20090206,000000,139.8900000,195.8500000,129.0400000,129.0400000,43
15736_090101_130416,D,20090209,000000,220.0000000,264.6000000,145.1500000,264.6000000,184
15736_090101_130416,D,20090210,000000,298.0000000,370.0000000,298.0000000,370.0000000,222
15736_090101_130416,D,20090211,000000,369.9900000,389.0000000,271.0000000,374.0000000,281
15736_090101_130416,D,20090212,000000,399.1200000,448.9900000,340.0000000,361.0000000,94
15736_090101_130416,D,20090213,000000,499.9900000,499.9900000,380.0000000,424.0000000,64
15736_090101_130416,D,20090216,000000,498.0000000,498.0000000,369.9900000,439.9500000,22
15736_090101_130416,D,20090217,000000,361.0200000,439.0000000,361.0200000,439.0000000,11
15736_090101_130416,D,20090218,000000,273.5600000,448.5000000,263.4000000,448.5000000,62
15736_090101_130416,D,20090219,000000,380.0000000,433.5000000,380.0000000,433.5000000,45
15736_090101_130416,D,20090220,000000,365.0000000,420.0000000,355.0000000,418.0000000,37
15736_090101_130416,D,20090224,000000,449.2300000,505.0000000,250.8000000,250.8000000,116
15736_090101_130416,D,20090225,000000,450.0000000,499.9800000,262.5200000,262.7000000,1.140
15736_090101_130416,D,20090226,000000,308.4900000,308.4900000,258.0000000,260.0100000,15
15736_090101_130416,D,20090227,000000,250.0000000,285.6000000,247.0000000,247.0000000,39
