<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
21167_090101_130416,D,20090408,000000,20.0000000,20.0000000,19.1000000,20.0000000,8.693
21167_090101_130416,D,20090409,000000,21.0000000,27.1700000,21.0000000,21.5200000,51.959
21167_090101_130416,D,20090410,000000,21.0700000,22.0000000,21.0000000,21.8500000,14.160
21167_090101_130416,D,20090413,000000,21.5000000,22.0000000,21.0100000,21.4100000,5.918
21167_090101_130416,D,20090414,000000,23.0000000,23.0000000,17.0500000,19.5000000,28.482
21167_090101_130416,D,20090415,000000,21.7000000,21.7000000,20.0000000,20.0000000,2.635
21167_090101_130416,D,20090416,000000,20.0100000,20.4800000,20.0000000,20.0000000,1.618
21167_090101_130416,D,20090417,000000,20.3300000,20.5700000,20.3300000,20.3300000,2.762
21167_090101_130416,D,20090420,000000,21.5500000,22.0100000,17.0000000,20.5000000,14.025
21167_090101_130416,D,20090421,000000,20.0100000,20.0100000,19.5000000,19.5000000,8.127
21167_090101_130416,D,20090422,000000,19.6000000,20.5000000,19.6000000,19.8000000,24
21167_090101_130416,D,20090423,000000,20.0000000,20.0000000,19.7700000,19.7700000,7
21167_090101_130416,D,20090424,000000,20.0000000,20.9900000,20.0000000,20.0000000,1.046
21167_090101_130416,D,20090427,000000,20.5900000,20.6000000,20.5900000,20.5900000,498
21167_090101_130416,D,20090428,000000,22.4000000,22.4000000,17.0000000,20.1000000,5.040
21167_090101_130416,D,20090429,000000,20.0000000,20.3000000,19.8300000,19.8300000,34
21167_090101_130416,D,20090430,000000,20.0400000,20.4000000,19.5500000,20.4000000,22
21167_090101_130416,D,20090504,000000,20.4000000,20.4000000,19.5000000,20.0000000,1.298
21167_090101_130416,D,20090505,000000,20.5400000,20.5400000,19.5000000,19.5000000,770
21167_090101_130416,D,20090506,000000,19.5000000,20.2100000,19.3000000,19.7200000,2.821
21167_090101_130416,D,20090507,000000,19.9000000,20.3300000,19.9000000,20.3300000,5.043
21167_090101_130416,D,20090508,000000,20.0000000,20.3300000,20.0000000,20.0000000,5.586
21167_090101_130416,D,20090512,000000,20.2200000,20.2200000,20.0000000,20.2200000,5.071
21167_090101_130416,D,20090513,000000,20.2200000,20.2200000,19.7000000,19.7000000,2.619
21167_090101_130416,D,20090514,000000,20.0000000,20.5000000,19.7000000,20.4000000,14.112
21167_090101_130416,D,20090515,000000,20.3500000,20.4300000,20.0000000,20.0000000,565
21167_090101_130416,D,20090518,000000,20.0000000,20.0000000,19.6000000,20.0000000,327
21167_090101_130416,D,20090519,000000,19.7000000,19.8300000,19.7000000,19.8000000,5.209
21167_090101_130416,D,20090520,000000,19.8000000,19.8300000,19.6000000,19.8300000,6.267
21167_090101_130416,D,20090521,000000,19.8300000,19.8300000,19.8200000,19.8200000,8.011
21167_090101_130416,D,20090522,000000,19.8000000,19.8500000,19.8000000,19.8000000,975
21167_090101_130416,D,20090525,000000,19.9000000,20.3200000,19.9000000,19.9000000,2.202
21167_090101_130416,D,20090526,000000,20.0100000,20.1900000,20.0000000,20.1900000,7.229
21167_090101_130416,D,20090527,000000,19.9200000,28.2700000,19.9200000,20.5000000,56.193
21167_090101_130416,D,20090528,000000,21.2300000,21.2300000,20.5000000,20.5000000,210
21167_090101_130416,D,20090529,000000,21.5000000,21.5000000,20.5000000,21.4700000,8.527
21167_090101_130416,D,20090601,000000,21.8900000,21.8900000,20.9900000,21.0000000,8.827
21167_090101_130416,D,20090602,000000,20.9900000,20.9900000,20.0500000,20.1000000,7.200
21167_090101_130416,D,20090603,000000,20.5000000,21.4600000,20.3400000,21.2000000,5.371
21167_090101_130416,D,20090604,000000,20.9600000,20.9600000,20.2400000,20.2400000,528
21167_090101_130416,D,20090605,000000,21.0000000,21.0000000,20.5100000,20.5100000,3.027
21167_090101_130416,D,20090608,000000,20.7900000,20.9700000,20.7900000,20.9700000,169
21167_090101_130416,D,20090609,000000,20.0200000,20.9600000,20.0000000,20.0000000,2.978
21167_090101_130416,D,20090610,000000,20.8900000,20.8900000,20.0000000,20.0000000,718
21167_090101_130416,D,20090611,000000,20.5000000,20.5000000,20.3000000,20.3000000,5.020
21167_090101_130416,D,20090615,000000,20.6000000,20.6000000,20.0000000,20.0000000,1.020
21167_090101_130416,D,20090616,000000,20.0100000,20.4700000,20.0000000,20.4700000,483
21167_090101_130416,D,20090617,000000,20.8800000,20.8800000,20.0000000,20.3300000,4.105
21167_090101_130416,D,20090618,000000,20.3700000,20.4600000,20.0000000,20.4400000,1.096
21167_090101_130416,D,20090619,000000,20.4000000,20.4900000,20.3300000,20.3900000,3.415
21167_090101_130416,D,20090622,000000,20.0000000,20.8000000,20.0000000,20.8000000,3.300
21167_090101_130416,D,20090623,000000,19.5100000,20.3000000,19.5000000,20.3000000,4.842
21167_090101_130416,D,20090624,000000,21.9000000,21.9000000,21.9000000,21.9000000,40
21167_090101_130416,D,20090625,000000,23.0000000,23.0000000,20.0100000,20.6600000,2.083
21167_090101_130416,D,20090626,000000,20.2000000,20.7000000,20.1900000,20.7000000,3.650
21167_090101_130416,D,20090629,000000,21.0000000,21.0000000,20.7000000,20.7000000,2.402
21167_090101_130416,D,20090630,000000,20.7000000,20.7000000,20.0300000,20.6000000,2.716
21167_090101_130416,D,20090701,000000,20.5000000,20.6700000,20.5000000,20.6500000,2.546
21167_090101_130416,D,20090702,000000,20.9900000,20.9900000,20.7000000,20.7300000,2.405
